"id","mz","diff","reference","formula","formula_isotopefree","formula_ion","homseries","totalc","H.C","O.C","C","H","O","N","S","P","Cl","Na","C13","O18","N15","S34","Cl37","Co","Cu.i","Cu.ii","Cu65.i","Cu65.ii","Fe.ii","Fe.iii","Fe54.ii","Fe54.iii","Br79","Br81","Ni.ii","Ni60.ii","Zn.ii","Zn66.ii","I","MDL_3.5","ResPow","m1","SE","present_in","AI","AI.mod","DBE","Aromatic","Aromatic.O_rich","Aromatic.O_poor","Highly.unsaturated","Highly.unsaturated.O_rich","Highly.unsaturated.O_poor","Unsaturated","Unsaturated.O_rich","Unsaturated.O_poor","Unsaturated.with.N","Saturated","Saturated.O_rich","Saturated.O_poor","mean_signal_to_MDL","isoratioC13.1","isoratioC13.2","isoratio_O18","isoratioS34","isoratioN15","isoratioBr81.1","isoratioBr81.2","isoratioCu.i_65","isoratioCu.ii_65","isoratioFe.ii_54","isoratioFe.iii_54","isoratioZn.ii_66","isoratioNi.ii_60","isoratioCl37","isorat_sdC13.1","isorat_sdC13.2","isorat_sd_O18","isorat_sd_S34","homnetworkmember","diff_filter","alternative_formula","Sample1_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B1_1-1-19_1_3604.csv","Sample2_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B1_1-1-19_1_3610.csv","Sample3_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B1_1-1-19_1_3616.csv","Sample4_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B2_1-1-20_1_3606.csv","Sample5_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B2_1-1-20_1_3612.csv","Sample6_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B2_1-1-20_1_3618.csv","Sample7_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS1_1-1-22_1_3624.csv","Sample8_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS1_1-1-22_1_3630.csv","Sample9_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS1_1-1-22_1_3636.csv","Sample10_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS2_1-1-24_1_3642.csv","Sample11_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS2_1-1-24_1_3648.csv","Sample12_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS2_1-1-24_1_3654.csv","Sample13_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS3_1-1-25_1_3658.csv","Sample14_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS3_1-1-25_1_3664.csv","Sample15_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS3_1-1-25_1_3670.csv","Sample16_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D1_1-1-26_1_3660.csv","Sample17_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D1_1-1-26_1_3666.csv","Sample18_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D1_1-1-26_1_3672.csv","Sample19_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D2_1-1-27_1_3676.csv","Sample20_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D2_1-1-27_1_3682.csv","Sample21_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D2_1-1-27_1_3688.csv","Sample22_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D3_1-1-28_1_3678.csv","Sample23_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D3_1-1-28_1_3684.csv","Sample24_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D3_1-1-28_1_3690.csv","Sample25_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D4_1-1-29_1_3694.csv","Sample26_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D4_1-1-29_1_3700.csv","Sample27_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D4_1-1-29_1_3706.csv","Sample28_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D5_1-1-30_1_3696.csv","Sample29_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D5_1-1-30_1_3702.csv","Sample30_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D5_1-1-30_1_3708.csv"
0,109.029512226522,0.0856077,110.036779238,"C_6 H_6 O_2","C6H6O2","C_6 H_5 O_2",1,6,1,0.333,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2510149.07376948,1622375,109.029512226522,0.0419337502380809,3,0.5,0.6,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,3221039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2689458,2902651
0,113.02441591852,0.0132156,114.031693857,"C_5 H_6 O_3","C5H6O3","C_5 H_5 O_3",1,5,1.2,0.6,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2512215.87857563,1888911.81818182,113.02441591852,0.116455626510639,11,0,0.43,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2868983,NA,2639903,NA,3515150,NA,2978793,2969002,2927101,3298656,NA,2884451,NA,NA,NA,2834794,NA,2886700,2820973
0,115.003676306826,0.0494608,116.010958476,"C_4 H_4 O_4","C4H4O4","C_4 H_3 O_4",2,4,1,1,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2513249.91905277,1947349,115.003676306826,0.0121735239003536,3,0,0.5,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2811131,NA,NA,NA,NA,NA,2893131,NA,2565243,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,119.050237778011,0.0034067,120.057514619,"C_8 H_8 O_1","C8H8O","C_8 H_7 O_1",1,8,1,0.125,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2515319.27703077,1584713.66666667,119.050237778011,0.0924908278949352,3,0.57,0.6,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,FALSE,NA,NA,NA,3745745,NA,NA,2721659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3067406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,120.045488015333,0.0068069,121.052763623,"C_7 H_7 O_1 N_1","C7H7NO","C_7 H_6 O_1 N_1",6,7,1,0.143,7,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2515836.88269963,1681329.93333333,120.045488015333,0.0170876809614916,30,0.6,0.64,5,1,0,1,0,0,0,0,0,0,0,0,0,0,4.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,FALSE,NA,5193036,6060240,4968354,4515263,3681296,3965386,12362757,10721631,10733206,11729988,11625184,11140025,19803644,20180286,18267268,15804984,15077601,15432600,20699234,17420580,17817604,11760940,12393727,11438152,11519109,10091682,11666845,14762518,14720084,12850889
-3,121.029502965064,0.0013029,122.036779238,"C_7 H_6 O_2","C7H6O2","C_7 H_5 O_2",5,7,0.857,0.286,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2516354.59488206,1577929.16666667,121.029502965064,0.00552744958308518,30,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,506.08,-75.97,33.2,-47.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1363583726952,180.047993617801,136.918727579318,NA,8,FALSE,NA,1220886784,1226390656,1327710080,1204108672,1210662912,1294678912,1158234112,1202142464,1322729088,1266368512,1151549056,1239105408,1690254848,1760771328,1689992320,1315126784,1400717440,1324826496,1442660352,1729708288,1562591232,867188992,923417792,976830464,947993664,923417728,927939968,1254309376,1357332480,1284324992
-1,122.032859438058,0.014605,123.040134073,"C_6 H_6 O_2 C13_1","C7H6O2","C_6 H_5 O_2 C13_1",5,7,0.857,0.286,6,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2516872.41359998,1554957.03333333,122.032859438058,0.0053306710882029,30,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,36.59,-75.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1363583726952,180.047993617801,NA,NA,8,FALSE,NA,84820216,87948408,97402696,87301480,88661944,92404592,84639664,86138120,96575032,92717040,82083464,90783592,121028000,128105704,122190888,93625824,99573896,98721600,105070608,121569488,114040744,60563672,65969316,72286192,70032432,68533328,67845448,91102656,99082240,91922032
-1,123.033748388149,0.0064414,124.041025619,"C_7 H_6 O_1 O18_1","C7H6O2","C_7 H_5 O_1 O18_1",5,7,0.857,0.286,7,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2517390.3388753,1680554.56666667,123.033748388149,0.0375069807185742,30,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1.93,NA,NA,-47.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.918727579318,NA,8,FALSE,NA,6142165,5435472,5243170,4699452,3938193,4086082,4136327,3765983,4517390,5048774,4700767,4577602,6952311,7627963,6147070,4068792,5145700,4965658,5510119,7410853,5424002,3345074,3130747,4709832,4558852,4348197,3456288,4097172,5054933,3785285
-1,123.036213532048,0.0085131,124.043488908,"C_5 H_6 O_2 C13_2","C7H6O2","C_5 H_5 O_2 C13_2",5,7,0.857,0.286,5,6,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2517390.3388753,1753378.56,123.036213532048,0.0579130922969528,25,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1.42,NA,33.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.047993617801,NA,NA,8,FALSE,NA,3157461,2701392,3886369,3116348,3588753,4251458,2603911,4149215,3884558,3138757,3261535,3423554,4590967,4364987,3098622,NA,3818596,NA,3626983,4988581,3959938,NA,NA,3680712,2910467,3356965,NA,3770516,2631636,3116101
0,125.097188498987,0.0024741,126.104464619,"C_8 H_14 O_1","C8H14O","C_8 H_13 O_1",2,8,1.75,0.125,8,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2518426.50918589,1683184.36,125.097188498987,0.0242090730141534,25,0.14,0.2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,2.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,FALSE,NA,5202061,3520002,4673236,NA,NA,NA,3306810,3819154,3119036,5341049,3623441,5059835,NA,2581611,NA,9890155,11015192,9323214,6741405,7266391,6349620,12052583,11552811,9404283,8552373,7867353,7867605,8415558,6772615,8537588
