"id","mz","diff","reference","formula","formula_isotopefree","formula_ion","homseries","totalc","H.C","O.C","C","H","O","N","S","P","Cl","Na","C13","O18","N15","S34","Cl37","Co","Cu.i","Cu.ii","Cu65.i","Cu65.ii","Fe.ii","Fe.iii","Fe54.ii","Fe54.iii","Br79","Br81","Ni.ii","Ni60.ii","Zn.ii","Zn66.ii","I","MDL_3.5","ResPow","m1","SE","present_in","AI","AI.mod","DBE","Aromatic","Aromatic.O_rich","Aromatic.O_poor","Highly.unsaturated","Highly.unsaturated.O_rich","Highly.unsaturated.O_poor","Unsaturated","Unsaturated.O_rich","Unsaturated.O_poor","Unsaturated.with.N","Saturated","Saturated.O_rich","Saturated.O_poor","mean_signal_to_MDL","isoratioC13.1","isoratioC13.2","isoratio_O18","isoratioS34","isoratioN15","isoratioBr81.1","isoratioBr81.2","isoratioCu.i_65","isoratioCu.ii_65","isoratioFe.ii_54","isoratioFe.iii_54","isoratioZn.ii_66","isoratioNi.ii_60","isoratioCl37","isorat_sdC13.1","isorat_sdC13.2","isorat_sd_O18","isorat_sd_S34","isorat_sd_N15","homnetworkmember","diff_filter","alternative_formula","Sample1_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B1_1-1-19_1_3604.csv","Sample2_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B1_1-1-19_1_3610.csv","Sample3_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B1_1-1-19_1_3616.csv","Sample4_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B2_1-1-20_1_3606.csv","Sample5_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B2_1-1-20_1_3612.csv","Sample6_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B2_1-1-20_1_3618.csv","Sample7_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS1_1-1-22_1_3624.csv","Sample8_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS1_1-1-22_1_3630.csv","Sample9_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS1_1-1-22_1_3636.csv","Sample10_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS2_1-1-24_1_3642.csv","Sample11_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS2_1-1-24_1_3648.csv","Sample12_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS2_1-1-24_1_3654.csv","Sample13_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS3_1-1-25_1_3658.csv","Sample14_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS3_1-1-25_1_3664.csv","Sample15_masslistsMGC2102302_LSt_MALSt_FT-ICR-MS_AE-DS3_1-1-25_1_3670.csv","Sample16_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D1_1-1-26_1_3660.csv","Sample17_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D1_1-1-26_1_3666.csv","Sample18_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D1_1-1-26_1_3672.csv","Sample19_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D2_1-1-27_1_3676.csv","Sample20_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D2_1-1-27_1_3682.csv","Sample21_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D2_1-1-27_1_3688.csv","Sample22_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D3_1-1-28_1_3678.csv","Sample23_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D3_1-1-28_1_3684.csv","Sample24_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D3_1-1-28_1_3690.csv","Sample25_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D4_1-1-29_1_3694.csv","Sample26_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D4_1-1-29_1_3700.csv","Sample27_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D4_1-1-29_1_3706.csv","Sample28_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D5_1-1-30_1_3696.csv","Sample29_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D5_1-1-30_1_3702.csv","Sample30_masslistsMGC2102303_LSt_MALSt_FT-ICR-MS_AE-D5_1-1-30_1_3708.csv"
0,109.029512226522,0.0856077,110.036779238,"C_6 H_6 O_2","C6H6O2","C_6 H_5 O_2",1,6,1,0.333,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2534994.58122851,1622375,109.029512226522,0.0419337502380809,3,0.5,0.6,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,FALSE,NA,NA,3221039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2689458,2902651
0,111.000630968211,0.9354786,112.007802619,"C_5 H_5 O_1 P_1","C5H5OP","C_5 H_4 O_1 P_1",1,5,1,0.2,5,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2535766.03042444,1471462.5,111.000630968211,0.677162374607076,2,0.67,0.71,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,FALSE,NA,3002154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2975564,NA,NA,NA,NA,NA,NA,NA
0,112.004057998122,0.3678304,113.011292861,"C_4 H_3 O_3 N_1","C4H3NO3","C_4 H_2 O_3 N_1",1,4,0.75,0.75,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2536151.84305567,1848267.5,112.004057998122,0.415410182762819,2,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2652771,NA,NA,NA,NA,NA,NA,NA,NA,2588452,NA,NA,NA,NA
0,113.02441591852,0.0132156,114.031693857,"C_5 H_6 O_3","C5H6O3","C_5 H_5 O_3",1,5,1.2,0.6,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2536537.71438767,1888911.81818182,113.02441591852,0.116455626510639,11,0,0.43,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2868983,NA,2639903,NA,3515150,NA,2978793,2969002,2927101,3298656,NA,2884451,NA,NA,NA,2834794,NA,2886700,2820973
0,115.003698964488,0.1458483,116.010958476,"C_4 H_4 O_4","C4H4O4","C_4 H_3 O_4",2,4,1,1,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2537309.63318966,1889111.75,115.003698964488,0.391852614143852,4,0,0.5,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2798802,NA,NA,NA,NA,2811131,NA,NA,NA,NA,NA,2893131,NA,2565243,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,119.050237778011,0.0034067,120.057514619,"C_8 H_8 O_1","C8H8O","C_8 H_7 O_1",1,8,1,0.125,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2538854.17559578,1584713.66666667,119.050237778011,0.0924908278949352,3,0.57,0.6,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,FALSE,NA,NA,NA,3745745,NA,NA,2721659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3067406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,120.045488016677,0.0068152,121.052763623,"C_7 H_7 O_1 N_1","C7H7NO","C_7 H_6 O_1 N_1",6,7,1,0.143,7,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2539240.45808323,1681329.93333333,120.045488015333,0.0170888261657312,30,0.6,0.64,5,1,0,1,0,0,0,0,0,0,0,0,0,0,4.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,FALSE,NA,5193036,6060240,4968354,4515263,3681296,3965386,12362757,10721631,10733206,11729988,11625184,11140025,19803644,20180286,18267268,15804984,15077601,15432600,20699234,17420580,17817604,11760940,12393727,11438152,11519109,10091682,11666845,14762518,14720084,12850889
-3,121.029502966268,0.0013111,122.036779238,"C_7 H_6 O_2","C7H6O2","C_7 H_5 O_2",5,7,0.857,0.286,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2539626.79934292,1577929.16666667,121.029502965064,0.00552195189473954,30,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,501.44,-75.97,33.2,-47.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1363583726952,180.047993617801,136.918727579318,NA,NA,17,FALSE,NA,1220886784,1226390656,1327710080,1204108672,1210662912,1294678912,1158234112,1202142464,1322729088,1266368512,1151549056,1239105408,1690254848,1760771328,1689992320,1315126784,1400717440,1324826496,1442660352,1729708288,1562591232,867188992,923417792,976830464,947993664,923417728,927939968,1254309376,1357332480,1284324992
-1,122.032859439443,0.0146131,123.040134073,"C_6 H_6 O_2 C13_1","C7H6O2","C_6 H_5 O_2 C13_1",5,7,0.857,0.286,6,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2540013.1993838,1554957.03333333,122.032859438058,0.00533031160373948,30,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,36.26,-75.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1363583726952,180.047993617801,NA,NA,NA,17,FALSE,NA,84820216,87948408,97402696,87301480,88661944,92404592,84639664,86138120,96575032,92717040,82083464,90783592,121028000,128105704,122190888,93625824,99573896,98721600,105070608,121569488,114040744,60563672,65969316,72286192,70032432,68533328,67845448,91102656,99082240,91922032
0,122.037628697027,0.0903166,123.044916242,"C_3 H_10 O_2 N_1 P_1","C3H10NO2P","C_3 H_9 O_2 N_1 P_1",1,3,3.333,0.667,3,10,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2540013.1993838,1638539,122.037628697027,0.697038664870883,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,2631545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2587645,NA
