"id","mz","diff","reference","formula","formula_isotopefree","formula_ion","homseries","totalc","H.C","O.C","C","H","O","N","S","P","Cl","Na","C13","O18","N15","S34","Cl37","Co","Cu.i","Cu.ii","Cu65.i","Cu65.ii","Fe.ii","Fe.iii","Fe54.ii","Fe54.iii","Br79","Br81","Ni.ii","Ni60.ii","Zn.ii","Zn66.ii","I","MDL_3.5","ResPow","m1","SE","present_in","AI","AI.mod","DBE","Aromatic","Aromatic.O_rich","Aromatic.O_poor","Highly.unsaturated","Highly.unsaturated.O_rich","Highly.unsaturated.O_poor","Unsaturated","Unsaturated.O_rich","Unsaturated.O_poor","Unsaturated.with.N","Saturated","Saturated.O_rich","Saturated.O_poor","mean_signal_to_MDL","isoratioC13.1","isoratioC13.2","isoratio_O18","isoratioS34","isoratioN15","isoratioBr81.1","isoratioBr81.2","isoratioCu.i_65","isoratioCu.ii_65","isoratioFe.ii_54","isoratioFe.iii_54","isoratioZn.ii_66","isoratioNi.ii_60","isoratioCl37","isorat_sdC13.1","isorat_sdC13.2","isorat_sd_O18","isorat_sd_S34","isorat_sd_N15","homnetworkmember","diff_filter","alternative_formula","Sample1_masslistsMGC2101810_LSt_MA_FTMS_PB_4_01_1-2-13_1_21358.csv","Sample2_masslistsMGC2101810_LSt_MA_FTMS_PB_4_02_1-2-13_1_21368.csv","Sample3_masslistsMGC2101810_LSt_MA_FTMS_PB_4_03_1-2-13_1_21378.csv","Sample4_masslistsMGC2101826_LSt_MA_FTMS_NSW_B1_01_1-2-35_1_21574.csv","Sample5_masslistsMGC2101826_LSt_MA_FTMS_NSW_B1_02_1-2-35_1_21582.csv","Sample6_masslistsMGC2101826_LSt_MA_FTMS_NSW_B1_03_1-2-35_1_21590.csv","Sample7_masslistsMGC2101826_LSt_MA_FTMS_NSW_B2_01_1-2-33_1_21544.csv","Sample8_masslistsMGC2101826_LSt_MA_FTMS_NSW_B2_02_1-2-33_1_21554.csv","Sample9_masslistsMGC2101826_LSt_MA_FTMS_NSW_B2_03_1-2-33_1_21564.csv","Sample10_masslistsMGC2101828_LSt_MA_FTMS_NSWpH2_B1_01_1-2-32_1_21542.csv","Sample11_masslistsMGC2101828_LSt_MA_FTMS_NSWpH2_B1_02_1-2-32_1_21552.csv","Sample12_masslistsMGC2101828_LSt_MA_FTMS_NSWpH2_B1_03_1-2-32_1_21562.csv","Sample13_masslistsMGC2101828_LSt_MA_FTMS_NSWpH2_B2_01_1-2-37_1_21600.csv","Sample14_masslistsMGC2101828_LSt_MA_FTMS_NSWpH2_B2_02_1-2-37_1_21608.csv","Sample15_masslistsMGC2101828_LSt_MA_FTMS_NSWpH2_B2_03_1-2-37_1_21616.csv"
0,111.08154273182,0.0405393,112.088814619,"C_7 H_12 O_1","C7H12O","C_7 H_11 O_1",9,7,1.714,0.143,7,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3276674.47499059,1896802.66666667,111.081544008254,0.0324480073187524,6,0.17,0.23,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,FALSE,NA,3526079,NA,NA,NA,NA,NA,5555078,3914465,5156636,NA,NA,NA,3738492,4669176,NA
0,119.050229770369,0.0701081,120.057514619,"C_8 H_8 O_1","C8H8O","C_8 H_7 O_1",8,8,1,0.125,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3281762.39192043,1762943.8,119.050232537933,0.0273347156952921,10,0.57,0.6,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,FALSE,NA,NA,NA,NA,NA,NA,3422490,6336965,5112470,6749275,5280121,6316272,7025161,4872244,5539941,4019000
-2,121.029497904451,0.0401682,122.036779238,"C_7 H_6 O_2","C7H6O2","C_7 H_5 O_2",19,7,0.857,0.286,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3283035.60510482,1571047.66666667,121.029500679483,0.0216253727745061,15,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,117.32,-157.44,NA,-22.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.054455450684,NA,12.7554446653978,NA,NA,29,FALSE,NA,149472304,93881064,64742332,234685328,143868992,140756144,554845504,625754688,658915328,987055360,999506560,818824128,96430024,133734864,75069616
0,121.065886397832,0.0146633,122.073164619,"C_8 H_10 O_1","C8H10O","C_8 H_9 O_1",7,8,1.25,0.125,8,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3283035.60510482,1722103.08333333,121.065889557316,0.0356300299829905,12,0.43,0.47,4,0,0,0,1,0,1,0,0,0,0,0,0,0,2.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,FALSE,NA,NA,NA,NA,4091285,3351616,3590321,8511837,6082603,7272435,8199442,7662213,8472482,9399242,12802508,4774830
-1,122.032858649624,0.0081924,123.040134073,"C_6 H_6 O_2 C13_1","C7H6O2","C_6 H_5 O_2 C13_1",19,7,0.857,0.286,6,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3283672.39692147,1569059.33333333,122.032861452277,0.0266287165896127,15,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,7.73,-157.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.054455450684,NA,NA,NA,NA,29,FALSE,NA,10276858,6688952,5787535,14089062,10674195,10124418,35587372,40989180,41889732,61031652,67084884,52622196,6865306,9763206,7494767
0,122.0611400111,0.0229141,123.068413623,"C_7 H_9 O_1 N_1","C7H9NO","C_7 H_8 O_1 N_1",5,7,1.286,0.143,7,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3283672.39692147,1765170.8,122.061143131004,0.0374004310704392,5,0.4,0.45,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,FALSE,NA,NA,NA,NA,NA,NA,NA,3424044,NA,NA,3585762,3849811,NA,4687769,7641477,NA
0,123.008759447659,0.0643304,124.016043857,"C_6 H_4 O_3","C6H4O3","C_6 H_3 O_3",20,6,0.667,0.5,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3284309.31225302,1772715.5,123.008762401054,0.0613324202251146,2,0.67,0.78,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4038727,NA,4622148,NA
-1,123.033750574167,0.0111818,124.041025619,"C_7 H_6 O_1 O18_1","C7H6O2","C_7 H_5 O_1 O18_1",19,7,0.857,0.286,7,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3284309.31225302,1838434,123.033754769783,0.0427766097370931,2,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1.19,NA,NA,-22.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7554446653978,NA,NA,29,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3834037,3954724,NA,NA,NA,NA
0,123.045157585619,0.038524,124.052429238,"C_7 H_8 O_2","C7H8O2","C_7 H_7 O_2",13,7,1.143,0.286,7,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3284309.31225302,1636918.77777778,123.045160772449,0.0264473943816631,9,0.4,0.5,4,0,0,0,1,0,1,0,0,0,0,0,0,0,2.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,FALSE,NA,NA,NA,NA,NA,3405542,NA,5747455,6241227,5594005,10764469,10228259,10106694,11930474,17551682,NA
0,123.081531113318,0.0570076,124.088814619,"C_8 H_12 O_1","C8H12O","C_8 H_11 O_1",6,8,1.5,0.125,8,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3284309.31225302,1612980.23076923,123.081533693446,0.0764543232169915,13,0.29,0.33,3,0,0,0,0,0,0,1,0,1,0,0,0,0,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,FALSE,NA,3701195,3357322,5128033,NA,3506916,NA,9649405,10066377,8886163,8114355,7435810,7400260,8472424,13027647,4684334
