"mz","MDL_3.5","ResPow","refe","m1","SE","Sample1_masslistsMGC2101810_LSt_MA_FTMS_PB_4_01_1-2-13_1_21358.csv","Sample2_masslistsMGC2101810_LSt_MA_FTMS_PB_4_02_1-2-13_1_21368.csv","Sample3_masslistsMGC2101810_LSt_MA_FTMS_PB_4_03_1-2-13_1_21378.csv","Sample4_masslistsMGC2101826_LSt_MA_FTMS_NSW_B1_01_1-2-35_1_21574.csv","Sample5_masslistsMGC2101826_LSt_MA_FTMS_NSW_B1_02_1-2-35_1_21582.csv","Sample6_masslistsMGC2101826_LSt_MA_FTMS_NSW_B1_03_1-2-35_1_21590.csv","Sample7_masslistsMGC2101826_LSt_MA_FTMS_NSW_B2_01_1-2-33_1_21544.csv","Sample8_masslistsMGC2101826_LSt_MA_FTMS_NSW_B2_02_1-2-33_1_21554.csv","Sample9_masslistsMGC2101826_LSt_MA_FTMS_NSW_B2_03_1-2-33_1_21564.csv","Sample10_masslistsMGC2101828_LSt_MA_FTMS_NSWpH2_B1_01_1-2-32_1_21542.csv","Sample11_masslistsMGC2101828_LSt_MA_FTMS_NSWpH2_B1_02_1-2-32_1_21552.csv","Sample12_masslistsMGC2101828_LSt_MA_FTMS_NSWpH2_B1_03_1-2-32_1_21562.csv","Sample13_masslistsMGC2101828_LSt_MA_FTMS_NSWpH2_B2_01_1-2-37_1_21600.csv","Sample14_masslistsMGC2101828_LSt_MA_FTMS_NSWpH2_B2_02_1-2-37_1_21608.csv","Sample15_masslistsMGC2101828_LSt_MA_FTMS_NSWpH2_B2_03_1-2-37_1_21616.csv"
92.8299082,3265255.48416718,2303950,NA,92.8299082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3499489,NA
92.9280261223681,3265255.48416718,2111047.83333333,NA,92.928028121782,0.0214711522240976,3437796,3452086,3893161,7814028,8742271,8158748,NA,NA,NA,NA,NA,NA,NA,NA,NA
93.0567911274724,3265255.48416718,2377566,NA,93.0567911274724,0.0466477598628506,NA,NA,NA,NA,NA,NA,5679678,3972454,3417858,NA,NA,NA,NA,NA,NA
93.0568778080628,3265255.48416718,2156011.57142857,NA,93.0568779233402,0.0345924430925253,NA,NA,NA,3429320,NA,NA,9318748,6981880,6331047,NA,3442396,NA,4119556,3682317,NA
93.4936995,3265255.48416718,2395556,NA,93.4936995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3313235,NA
93.7272317,3265888.8272745,2011902,NA,93.7272317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3306127,NA
94.7264471,3266522.2932278,2237425,NA,94.7264471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3367211,NA
94.831897129393,3266522.2932278,2135105,NA,94.8319015,NA,NA,NA,NA,NA,NA,3325641,NA,NA,NA,NA,NA,NA,NA,NA,NA
94.9250762820391,3266522.2932278,2165864.5,NA,94.9250789193342,0.029350141573018,4278823,3396696,NA,NA,7197581,6058124,NA,NA,NA,NA,NA,NA,NA,NA,NA
94.9361913,3266522.2932278,1686553,NA,94.9361913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3400113
