"id","mz","diff","reference","formula","formula_isotopefree","formula_ion","homseries","totalc","H.C","O.C","C","H","O","N","S","P","Cl","Na","C13","O18","N15","S34","Cl37","Co","Cu.i","Cu.ii","Cu65.i","Cu65.ii","Fe.ii","Fe.iii","Fe54.ii","Fe54.iii","Br79","Br81","Ni.ii","Ni60.ii","Zn.ii","Zn66.ii","I","MDL_3.5","ResPow","m1","SE","present_in","AI","AI.mod","DBE","Aromatic","Aromatic.O_rich","Aromatic.O_poor","Highly.unsaturated","Highly.unsaturated.O_rich","Highly.unsaturated.O_poor","Unsaturated","Unsaturated.O_rich","Unsaturated.O_poor","Unsaturated.with.N","Saturated","Saturated.O_rich","Saturated.O_poor","mean_signal_to_MDL","isoratioC13.1","isoratioC13.2","isoratio_O18","isoratioS34","isoratioN15","isoratioBr81.1","isoratioBr81.2","isoratioCu.i_65","isoratioCu.ii_65","isoratioFe.ii_54","isoratioFe.iii_54","isoratioZn.ii_66","isoratioNi.ii_60","isoratioCl37","isorat_sdC13.1","isorat_sdC13.2","isorat_sd_O18","isorat_sd_S34","homnetworkmember","diff_filter","alternative_formula","Sample1_masslistsMGC2102290_LSt_MALSt_FT-ICR-MS_PB-A1_1-1-14_1_3552.csv","Sample2_masslistsMGC2102290_LSt_MALSt_FT-ICR-MS_PB-A1_1-1-14_1_3560.csv","Sample3_masslistsMGC2102290_LSt_MALSt_FT-ICR-MS_PB-A1_1-1-14_1_3568.csv","Sample4_masslistsMGC2102290_LSt_MALSt_FT-ICR-MS_PB-A2_1-1-15_1_3554.csv","Sample5_masslistsMGC2102290_LSt_MALSt_FT-ICR-MS_PB-A2_1-1-15_1_3562.csv","Sample6_masslistsMGC2102290_LSt_MALSt_FT-ICR-MS_PB-A2_1-1-15_1_3570.csv","Sample7_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-1_1-1-16_1_3556.csv","Sample8_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-1_1-1-16_1_3564.csv","Sample9_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-1_1-1-16_1_3572.csv","Sample10_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-2_1-1-17_1_3576.csv","Sample11_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-2_1-1-17_1_3582.csv","Sample12_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-2_1-1-17_1_3588.csv","Sample13_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-3_1-1-18_1_3578.csv","Sample14_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-3_1-1-18_1_3584.csv","Sample15_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-3_1-1-18_1_3590.csv"
0,111.081540562263,0.0211886,112.088814619,"C_7 H_12 O_1","C7H12O","C_7 H_11 O_1",5,7,1.714,0.143,7,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2635199.45775122,1891487.85714286,111.081540669001,0.0388778244479298,14,0.17,0.23,2,0,0,0,0,0,0,1,0,1,0,0,0,0,3.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,10057396,9409689,8715591,4196999,3582955,2782014,16940168,17305410,16724643,7393184,9161514,9124570,NA,3752130,3179295
0,113.097203593782,0.1350166,114.104464619,"C_7 H_14 O_1","C7H14O","C_7 H_13 O_1",3,7,2,0.143,7,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2635648.95670253,1837332,113.097203593782,0.0550193946365691,2,0,0.08,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,FALSE,NA,NA,NA,NA,NA,NA,NA,2895262,NA,NA,2658618,NA,NA,NA,NA,NA
0,115.076455430019,0.0226044,116.083729238,"C_6 H_12 O_2","C6H12O2","C_6 H_11 O_2",21,6,2,0.333,6,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2636098.53232709,1915534.4,115.076455661708,0.0397685785171585,5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,3068797,NA,NA,NA,2856119,3884405,3628627,NA,NA,2717448,NA,NA,NA
0,121.029502141202,0.0054492,122.036779238,"C_7 H_6 O_2","C7H6O2","C_7 H_5 O_2",1,7,0.857,0.286,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2637447.71937106,1742137.6,121.029502231388,0.0149490233621969,15,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,2.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,5361883,4088002,5629280,6681486,5922307,6522589,8227472,9369939,9855150,6416312,5847329,4994270,5012552,5340407,6441418
0,123.081538647378,0.003707,124.088814619,"C_8 H_12 O_1","C8H12O","C_8 H_11 O_1",3,8,1.5,0.125,8,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2637897.60181944,1529493,123.081539199623,0.0074704971925497,2,0.29,0.33,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,3037948,NA,2992482,NA,NA,NA,NA,NA
-1,125.097188598186,0.0032592,126.104464619,"C_8 H_14 O_1","C8H14O","C_8 H_13 O_1",5,8,1.75,0.125,8,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2638347.56100647,1544607,125.097188693811,0.0211944810533336,15,0.14,0.2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,13.5,-27.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.872042283467,NA,NA,NA,5,FALSE,NA,35380796,34569252,33832636,43507428,43761504,44371516,56229352,57711792,57524232,32161558,32951924,33389620,9766304,10097758,9102637
-1,126.100542274451,0.0058848,127.107819454,"C_7 H_14 O_1 C13_1","C8H14O","C_7 H_13 O_1 C13_1",5,8,1.75,0.125,7,14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2638572.56938107,1655049.75,126.100542376466,0.031448309237594,12,0.14,0.2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1.39,-27.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.872042283467,NA,NA,NA,5,FALSE,NA,2772764,3514885,2743964,2990275,3798334,3412507,4511686,4572812,6366693,3309300,3275343,2694673,NA,NA,NA
0,127.1128369715,0.0094911,128.120114619,"C_8 H_16 O_1","C8H16O","C_8 H_15 O_1",3,8,2,0.125,8,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2638797.59694526,1797560.75,127.112837273416,0.0392098758521988,4,0,0.07,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,FALSE,NA,NA,NA,NA,NA,NA,NA,3393958,4744301,4479941,NA,NA,2776561,NA,NA,NA
0,128.108084685411,0.019409,129.115363623,"C_7 H_15 O_1 N_1","C7H15NO","C_7 H_14 O_1 N_1",4,7,2.143,0.143,7,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2639022.64370065,1576758.4,128.108084818523,0.0568242059874932,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,FALSE,NA,4449763,4301260,3529313,NA,NA,4145121,8736137,8049745,7770024,3112121,5871120,4321748,NA,NA,NA
0,129.092106634221,0.0294237,130.099379238,"C_7 H_14 O_2","C7H14O2","C_7 H_13 O_2",21,7,2,0.286,7,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2639247.70964889,1591284.8,129.092106890496,0.0432515996371092,5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA,2672363,NA,3398512,5002296,3525007,NA,NA,3083707,NA,NA,NA
