"id","mz","diff","reference","formula","formula_isotopefree","formula_ion","homseries","totalc","H.C","O.C","C","H","O","N","S","P","Cl","Na","C13","O18","N15","S34","Cl37","Co","Cu.i","Cu.ii","Cu65.i","Cu65.ii","Fe.ii","Fe.iii","Fe54.ii","Fe54.iii","Br79","Br81","Ni.ii","Ni60.ii","Zn.ii","Zn66.ii","I","MDL_3.6","ResPow","m1","SE","present_in","AI","AI.mod","DBE","Aromatic","Aromatic.O_rich","Aromatic.O_poor","Highly.unsaturated","Highly.unsaturated.O_rich","Highly.unsaturated.O_poor","Unsaturated","Unsaturated.O_rich","Unsaturated.O_poor","Unsaturated.with.N","Saturated","Saturated.O_rich","Saturated.O_poor","mean_signal_to_MDL","isoratioC13.1","isoratioC13.2","isoratio_O18","isoratioS34","isoratioN15","isoratioBr81.1","isoratioBr81.2","isoratioCu.i_65","isoratioCu.ii_65","isoratioFe.ii_54","isoratioFe.iii_54","isoratioZn.ii_66","isoratioNi.ii_60","isoratioCl37","isorat_sdC13.1","isorat_sdC13.2","isorat_sd_O18","isorat_sd_S34","homnetworkmember","diff_filter","alternative_formula","Sample1_masslistsMGC2102292_LSt_MALSt_FT-ICR-MS_B-A1_1-1-31_1_3712.csv","Sample2_masslistsMGC2102292_LSt_MALSt_FT-ICR-MS_B-A1_1-1-31_1_3718.csv","Sample3_masslistsMGC2102292_LSt_MALSt_FT-ICR-MS_B-A1_1-1-31_1_3724.csv","Sample4_masslistsMGC2102292_LSt_MALSt_FT-ICR-MS_B-A2_1-1-32_1_3714.csv","Sample5_masslistsMGC2102292_LSt_MALSt_FT-ICR-MS_B-A2_1-1-32_1_3720.csv","Sample6_masslistsMGC2102292_LSt_MALSt_FT-ICR-MS_B-A2_1-1-32_1_3726.csv","Sample7_masslistsMGC2102297_LSt_MALSt_FT-ICR-MS_Alc-D1.1_1-1-33_1_3730.csv","Sample8_masslistsMGC2102297_LSt_MALSt_FT-ICR-MS_Alc-D1.1_1-1-33_1_3736.csv","Sample9_masslistsMGC2102297_LSt_MALSt_FT-ICR-MS_Alc-D1.1_1-1-33_1_3742.csv","Sample10_masslistsMGC2102297_LSt_MALSt_FT-ICR-MS_Alc-D1.2_1-1-34_1_3732.csv","Sample11_masslistsMGC2102297_LSt_MALSt_FT-ICR-MS_Alc-D1.2_1-1-34_1_3738.csv","Sample12_masslistsMGC2102297_LSt_MALSt_FT-ICR-MS_Alc-D1.2_1-1-34_1_3744.csv","Sample13_masslistsMGC2102297_LSt_MALSt_FT-ICR-MS_Alc-D1.3_1-1-35_1_3748.csv","Sample14_masslistsMGC2102297_LSt_MALSt_FT-ICR-MS_Alc-D1.3_1-1-35_1_3762.csv","Sample15_masslistsMGC2102297_LSt_MALSt_FT-ICR-MS_Alc-D1.3_1-1-35_1_3768.csv","Sample16_masslistsMGC2102298_LSt_MALSt_FT-ICR-MS_Alc-D2.1_1-1-36_1_3764.csv","Sample17_masslistsMGC2102298_LSt_MALSt_FT-ICR-MS_Alc-D2.1_1-1-36_1_3770.csv","Sample18_masslistsMGC2102298_LSt_MALSt_FT-ICR-MS_Alc-D2.1_1-1-36_1_3772.csv","Sample19_masslistsMGC2102298_LSt_MALSt_FT-ICR-MS_Alc-D2.2_1-1-37_1_3776.csv","Sample20_masslistsMGC2102298_LSt_MALSt_FT-ICR-MS_Alc-D2.2_1-1-37_1_3782.csv","Sample21_masslistsMGC2102298_LSt_MALSt_FT-ICR-MS_Alc-D2.2_1-1-37_1_3788.csv","Sample22_masslistsMGC2102298_LSt_MALSt_FT-ICR-MS_Alc-D2.3_1-1-38_1_3778.csv","Sample23_masslistsMGC2102298_LSt_MALSt_FT-ICR-MS_Alc-D2.3_1-1-38_1_3784.csv","Sample24_masslistsMGC2102298_LSt_MALSt_FT-ICR-MS_Alc-D2.3_1-1-38_1_3790.csv","Sample25_masslistsMGC2102299_LSt_MALSt_FT-ICR-MS_Alc-D3.1_1-1-39_1_3794.csv","Sample26_masslistsMGC2102299_LSt_MALSt_FT-ICR-MS_Alc-D3.1_1-1-39_1_3802.csv","Sample27_masslistsMGC2102299_LSt_MALSt_FT-ICR-MS_Alc-D3.1_1-1-39_1_3810.csv","Sample28_masslistsMGC2102299_LSt_MALSt_FT-ICR-MS_Alc-D3.2_1-1-40_1_3796.csv","Sample29_masslistsMGC2102299_LSt_MALSt_FT-ICR-MS_Alc-D3.2_1-1-40_1_3804.csv","Sample30_masslistsMGC2102299_LSt_MALSt_FT-ICR-MS_Alc-D3.2_1-1-40_1_3812.csv","Sample31_masslistsMGC2102299_LSt_MALSt_FT-ICR-MS_Alc-D3.3_1-1-41_1_3798.csv","Sample32_masslistsMGC2102299_LSt_MALSt_FT-ICR-MS_Alc-D3.3_1-1-41_1_3806.csv","Sample33_masslistsMGC2102299_LSt_MALSt_FT-ICR-MS_Alc-D3.3_1-1-41_1_3814.csv"
0,120.045490101203,0.0240391,121.052763623,"C_7 H_7 O_1 N_1","C7H7NO","C_7 H_6 O_1 N_1",1,7,1,0.143,7,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2482039.85028594,1749985.1,120.045490101203,0.0480272325399445,10,0.6,0.64,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,3549061,NA,2512704,NA,NA,2512631,NA,NA,NA,NA,NA,NA,2519601,NA,NA,NA,NA,NA,2856457,NA,NA,4403791,4125606,4273482,3273227,NA,NA,NA,NA,NA,2767435,NA,NA
-3,121.029503117698,0.0025484,122.036779238,"C_7 H_6 O_2","C7H6O2","C_7 H_5 O_2",4,7,0.857,0.286,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2482749.7016846,1579258.84848485,121.029503117698,0.00117675626311361,33,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,530.46,-72.13,26.2,-19.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9889148952247,169.711658977998,130.602450903691,NA,3,FALSE,NA,1248673664,1366375936,1186675968,1214594688,1296645632,1295990272,1231896064,1194541184,1268727296,1177370496,1344749568,1290354816,1152466944,1219313792,1399537152,1392852224,1380663424,1432436992,1295728640,1402290560,1429815296,1549090816,1524317568,1656962560,1207255040,1279868416,1298218752,1353399808,1318140800,1444101120,1146961152,1126514432,1334526336
-1,122.032859475512,0.0149057,123.040134073,"C_6 H_6 O_2 C13_1","C7H6O2","C_6 H_5 O_2 C13_1",4,7,0.857,0.286,6,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2483459.75609734,1554313.24242424,122.032859475512,0.00248613315281713,33,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,38.51,-72.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9889148952247,169.711658977998,NA,NA,3,FALSE,NA,91373360,100670928,86809832,87866952,93699512,93633952,89578984,86548584,93183440,83885928,98639864,92405848,85106656,89825384,101432760,101039360,100343856,104710360,92569520,100409712,103079928,112590840,112377168,117128688,87498680,91667904,93503256,98409960,97942336,104905680,84434168,80658096,98033952
-1,123.033748555558,0.0050951,124.041025619,"C_7 H_6 O_1 O18_1","C7H6O2","C_7 H_5 O_1 O18_1",4,7,0.857,0.286,7,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2484170.01358219,1673090.3030303,123.033748555558,0.0283644962782946,33,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,2.09,NA,NA,-19.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.602450903691,NA,3,FALSE,NA,4333322,5278628,4508353,4754978,5326739,5483382,4003773,4825153,4474790,5666622,4796372,4939828,5459896,4478528,5527950,5150421,5279753,4432558,4532108,4266822,5904333,6271955,6539558,6496715,6569873,5155736,5306092,5706180,5453593,4596134,4713680,4114310,6658302
-1,123.036215361701,0.023258,124.043488908,"C_5 H_6 O_2 C13_2","C7H6O2","C_5 H_5 O_2 C13_2",4,7,0.857,0.286,5,6,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2484170.01358219,1640436.69230769,123.036215361701,0.0446933155115576,26,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1.44,NA,26.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.711658977998,NA,NA,3,FALSE,NA,3715082,3791780,2859969,3584546,NA,3708022,3739325,3300416,NA,2766910,3654099,NA,4106167,NA,2630798,3686101,3249161,3620270,2887563,2950469,NA,3510227,5045030,3443147,NA,3687576,3925740,3950020,4812057,3344806,NA,3422086,3814398
0,125.09718738886,0.006336,126.104464619,"C_8 H_14 O_1","C8H14O","C_8 H_13 O_1",1,8,1.75,0.125,8,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2485591.13800064,1696088.60869565,125.09718738886,0.0426349277718737,23,0.14,0.2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,FALSE,NA,NA,NA,NA,2605272,4317003,4366120,6563188,6168565,5369178,2967281,NA,4454892,NA,NA,NA,NA,NA,2851173,NA,3392892,2599807,4763016,3639513,4094334,3608903,4221773,4604063,3559289,3441355,4330839,5759109,4891706,3702456
0,137.024409052462,0.06066,138.031693857,"C_7 H_6 O_3","C7H6O3","C_7 H_5 O_3",1,7,0.857,0.429,7,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2494134.9734976,1605829.6,137.024409052462,0.0825712957610398,5,0.5,0.64,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2872477,NA,2838747,2798312,2578484,NA,NA,NA,NA,3069657,NA,NA,NA,NA,NA
0,153.032218775135,0.0082381,154.039496476,"C_4 H_11 O_4 P_1","C4H11O4P","C_4 H_10 O_4 P_1",1,4,2.75,1,4,11,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2505572.45533167,1333606.83333333,153.032218775135,0.0520562478262634,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,7213571,7504049,7792598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3515029,3523125,3672803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,157.123404665806,0.0117561,158.130679238,"C_9 H_18 O_2","C9H18O2","C_9 H_17 O_2",2,9,2,0.222,9,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2508440.01163918,1289810,157.123404665806,0.147434328446192,6,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,FALSE,NA,2779709,3963642,NA,NA,NA,NA,NA,3125640,NA,NA,NA,2594104,NA,NA,NA,3059349,NA,NA,NA,2513000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,158.082267880609,0.0091206,159.089542861,"C_7 H_13 O_3 N_1","C7H13NO3","C_7 H_12 O_3 N_1",6,7,1.857,0.429,7,13,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2509157.41335637,1294823.5,158.082267880609,0.117270139885835,6,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA,NA,NA,3420026,3640869,3645355,NA,2812337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2732954,NA,NA,2963107,NA,NA
