id,mz,diff,reference,formula,formula_isotopefree,formula_ion,homseries,totalc,H.C,O.C,C,H,O,N,S,P,Cl,Na,C13,O18,N15,S34,Cl37,Co,Cu.i,Cu.ii,Cu65.i,Cu65.ii,Fe.ii,Fe.iii,Fe54.ii,Fe54.iii,Br79,Br81,Ni.ii,Ni60.ii,Zn.ii,Zn66.ii,I,MDL_3.5,ResPow,m1,SE,present_in,AI,AI.mod,DBE,Aromatic,Aromatic.O_rich,Aromatic.O_poor,Highly.unsaturated,Highly.unsaturated.O_rich,Highly.unsaturated.O_poor,Unsaturated,Unsaturated.O_rich,Unsaturated.O_poor,Unsaturated.with.N,Saturated,Saturated.O_rich,Saturated.O_poor,mean_signal_to_MDL,isoratioC13.1,isoratioC13.2,isoratio_O18,isoratioS34,isoratioN15,isoratioBr81.1,isoratioBr81.2,isoratioCu.i_65,isoratioCu.ii_65,isoratioFe.ii_54,isoratioFe.iii_54,isoratioZn.ii_66,isoratioNi.ii_60,isoratioCl37,isorat_sdC13.1,isorat_sdC13.2,isorat_sd_O18,isorat_sd_S34,isorat_sd_N15,homnetworkmember,mean_of_ratio_deviance,diff_filter,alternative_formula,Sample1_masslistsIHSS NOM_LSt_MA_FTMS_IHSS.NOM_STD_01_1-2-43_1_21692.csv,Sample2_masslistsIHSS NOM_LSt_MA_FTMS_IHSS.NOM_STD_02_1-2-43_1_21702.csv,Sample3_masslistsIHSS NOM_LSt_MA_FTMS_IHSS.NOM_STD_03_1-2-43_1_21712.csv,Sample4_masslistsMGC2101807_LSt_MA_FTMS_PB_1_01_1-2-30_1_21512.csv,Sample5_masslistsMGC2101807_LSt_MA_FTMS_PB_1_02_1-2-30_1_21522.csv,Sample6_masslistsMGC2101807_LSt_MA_FTMS_PB_1_03_1-2-30_1_21532.csv,Sample7_masslistsMGC2101808_LSt_MA_FTMS_PB_2_01_1-2-20_1_21420.csv,Sample8_masslistsMGC2101808_LSt_MA_FTMS_PB_2_02_1-2-20_1_21430.csv,Sample9_masslistsMGC2101808_LSt_MA_FTMS_PB_2_03_1-2-20_1_21440.csv,Sample10_masslistsMGC2101809_LSt_MA_FTMS_PB_3_01_1-2-14_1_21360.csv,Sample11_masslistsMGC2101809_LSt_MA_FTMS_PB_3_02_1-2-14_1_21370.csv,Sample12_masslistsMGC2101809_LSt_MA_FTMS_PB_3_03_1-2-14_1_21380.csv,Sample13_masslistsMGC2101812_LSt_MA_FTMS_Blank_A1_01_1-2-12_1_21334.csv,Sample14_masslistsMGC2101812_LSt_MA_FTMS_Blank_A1_02_1-2-12_1_21344.csv,Sample15_masslistsMGC2101812_LSt_MA_FTMS_Blank_A1_03_1-2-12_1_21352.csv,Sample16_masslistsMGC2101812_LSt_MA_FTMS_Blank_A2_01_1-2-19_1_21418.csv,Sample17_masslistsMGC2101812_LSt_MA_FTMS_Blank_A2_02_1-2-19_1_21428.csv,Sample18_masslistsMGC2101812_LSt_MA_FTMS_Blank_A2_03_1-2-19_1_21438.csv,Sample19_masslistsMGC2101815_LSt_MA_FTMS_IHSS_A1_01_1-2-9_1_21308.csv,Sample20_masslistsMGC2101815_LSt_MA_FTMS_IHSS_A1_02_1-2-9_1_21316.csv,Sample21_masslistsMGC2101815_LSt_MA_FTMS_IHSS_A1_03_1-2-9_1_21326.csv,Sample22_masslistsMGC2101815_LSt_MA_FTMS_IHSS_A2_01_1-2-1_1_21250.csv,Sample23_masslistsMGC2101815_LSt_MA_FTMS_IHSS_A2_02_1-2-1_1_21258.csv,Sample24_masslistsMGC2101815_LSt_MA_FTMS_IHSS_A2_03_1-2-1_1_21268.csv,Sample25_masslistsMGC2101816_LSt_MA_FTMS_IHSS_B1_01_1-2-23_1_21450.csv,Sample26_masslistsMGC2101816_LSt_MA_FTMS_IHSS_B1_02_1-2-23_1_21460.csv,Sample27_masslistsMGC2101816_LSt_MA_FTMS_IHSS_B1_03_1-2-23_1_21470.csv,Sample28_masslistsMGC2101816_LSt_MA_FTMS_IHSS_B2_01_1-2-5_1_21278.csv,Sample29_masslistsMGC2101816_LSt_MA_FTMS_IHSS_B2_02_1-2-5_1_21288.csv,Sample30_masslistsMGC2101816_LSt_MA_FTMS_IHSS_B2_03_1-2-5_1_21296.csv,Sample31_NELHA_1.csv,Sample32_NELHA_2.csv,Sample33_NELHA_3.csv,Sample34_NELHA_4.csv,Sample35_NELHA_5.csv
0,111.0815412,0.0265682,112.0888146,C_7 H_12 O_1,C7H12O,C_7 H_11 O_1,8,7,1.714,0.143,7,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3066611.461,1756621.577,111.0815424,0.022218021,26,0.17,0.23,2,0,0,0,0,0,0,1,0,1,0,0,0,0,3.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Inf,FALSE,NA,NA,NA,NA,15251920,15517325,16638866,12341491,12446581,12072602,NA,5256364,4565442,4895186,5476025,6524885,3895962,4092741,4291488,15770244,15532665,15661962,6731611,7586109,7341309,13721385,13336197,14405330,13428955,12456798,13075734,NA,NA,NA,NA,NA
0,119.0502354,0.0235804,120.0575146,C_8 H_8 O_1,C8H8O,C_8 H_7 O_1,6,8,1,0.125,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3073857.805,1663270.167,119.0502373,0.072085167,18,0.57,0.6,5,1,0,1,0,0,0,0,0,0,0,0,0,0,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,Inf,FALSE,NA,17299586,13776127,13263600,5259311,3847919,NA,NA,NA,NA,NA,3300380,NA,NA,NA,NA,NA,NA,3250443,3729609,3729083,3522534,6372784,5690501,6643525,NA,4409302,4226589,NA,3300515,3245411,NA,7008285,NA,NA,NA
0,120.0454844,0.0227421,121.0527636,C_7 H_7 O_1 N_1,C7H7NO,C_7 H_6 O_1 N_1,1,7,1,0.143,7,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3074764.801,1610030.875,120.0454847,0.032326878,8,0.6,0.64,5,1,0,1,0,0,0,0,0,0,0,0,0,0,10.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,873,Inf,FALSE,NA,NA,NA,4042403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5053436,NA,NA,NA,NA,NA,NA,NA,NA,NA,53175608,52585636,54986472,32754934,31122800,30580528,NA,NA,NA,NA,NA
-3,121.0294977,0.0414875,122.0367792,C_7 H_6 O_2,C7H6O2,C_7 H_5 O_2,14,7,0.857,0.286,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3075672.065,1586465.343,121.0294991,0.023977859,35,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1308.48,-72.65,-132.28,-100.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.33043025,37.68740024,90.509763,NA,NA,10,101.65,FALSE,NA,653025280,225107040,243096160,379601856,329598112,275465600,60769012,118408584,102630560,84215216,48264128,41280208,12044682240,12798608384,12814337024,11562337280,11424973824,11769955328,27108452,19303510,18705798,125994320,117179936,136037088,14597964800,14796145664,14881081344,6444237824,6671779328,6831163392,89269280,756178816,11778093,308823040,47305652
0,121.0658843,0.031604,122.0731646,C_8 H_10 O_1,C8H10O,C_8 H_9 O_1,5,8,1.25,0.125,8,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3075672.065,1642301.929,121.0658864,0.051247774,14,0.43,0.47,4,0,0,0,1,0,1,0,0,0,0,0,0,0,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,Inf,FALSE,NA,17756140,16014437,16542294,NA,NA,3166338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4593250,3740500,4296069,4433230,4603424,3835871,NA,3886706,3840951,3748549,3470653,NA,NA,NA,NA,NA,NA
-2,122.0328603,0.021237,123.0401341,C_6 H_6 O_2 C13_1,C7H6O2,C_6 H_5 O_2 C13_1,14,7,0.857,0.286,6,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3076579.597,1590864.871,122.0328616,0.033660476,31,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,107.13,-72.65,NA,39.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.33043025,37.68740024,262.127291,NA,NA,10,56.12,FALSE,NA,44388264,14652446,14866960,25721762,23802980,21359956,4736197,9059680,7858807,6459268,4051094,3396517,872694720,931218816,929645440,830948480,820921408,846284160,NA,NA,NA,9446688,8101361,9480881,1087194368,1101350016,1116685952,450708640,465323264,475088608,6967284,50724700,NA,20382684,3605386
-2,123.0337507,0.0125604,124.0410256,C_7 H_6 O_1 O18_1,C7H6O2,C_7 H_5 O_1 O18_1,14,7,0.857,0.286,7,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3077487.396,1553779,123.033752,0.030065859,13,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,12.4,79.82,NA,-100.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243.9371011,NA,90.509763,NA,NA,10,89.92,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46609268,46933364,46191476,41444432,39814140,40818008,NA,NA,NA,NA,NA,NA,52507816,53797912,52504156,23338090,24034528,24323748,NA,3676451,NA,NA,NA
-1,123.0362168,0.0348668,124.0434889,C_5 H_6 O_2 C13_2,C7H6O2,C_5 H_5 O_2 C13_2,14,7,0.857,0.286,5,6,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3077487.396,1572295.5,123.0362179,0.01308252,12,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,8.43,NA,-132.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.68740024,NA,NA,NA,10,132.28,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29320052,29963636,29901682,24562766,26377212,27190616,NA,NA,NA,NA,NA,NA,33686696,33666072,32912988,13349994,14769376,15513252,NA,NA,NA,NA,NA
0,123.0451548,0.0162512,124.0524292,C_7 H_8 O_2,C7H8O2,C_7 H_7 O_2,9,7,1.143,0.286,7,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3077487.396,1703200.909,123.0451571,0.027915868,11,0.4,0.5,4,0,0,0,1,0,1,0,0,0,0,0,0,0,3.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,Inf,FALSE,NA,27252578,27616216,28205514,3221879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4071926,3426605,4260084,NA,5075075,NA,4853783,3937883,NA,NA,NA,NA,5492514,NA,NA,NA
0,123.0815371,0.0090741,124.0888146,C_8 H_12 O_1,C8H12O,C_8 H_11 O_1,4,8,1.5,0.125,8,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3077487.396,1608816.375,123.0815386,0.033971627,24,0.29,0.33,3,0,0,0,0,0,0,1,0,1,0,0,0,0,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,Inf,FALSE,NA,7649119,9491414,9130440,5899125,6135351,7405863,3843224,5914421,3285578,NA,4353898,5140089,3481331,NA,NA,NA,NA,NA,5614595,6102005,6343468,8514802,8962497,7570049,6970533,7348758,7865946,6166632,5434590,5563042,NA,NA,NA,NA,NA
