"id","mz","diff","reference","formula","formula_isotopefree","formula_ion","homseries","totalc","H.C","O.C","C","H","O","N","S","P","Cl","Na","C13","O18","N15","S34","Cl37","Co","Cu.i","Cu.ii","Cu65.i","Cu65.ii","Fe.ii","Fe.iii","Fe54.ii","Fe54.iii","Br79","Br81","Ni.ii","Ni60.ii","Zn.ii","Zn66.ii","I","MDL_2.6","ResPow","m1","SE","present_in","AI","AI.mod","DBE","Aromatic","Aromatic.O_rich","Aromatic.O_poor","Highly.unsaturated","Highly.unsaturated.O_rich","Highly.unsaturated.O_poor","Unsaturated","Unsaturated.O_rich","Unsaturated.O_poor","Unsaturated.with.N","Saturated","Saturated.O_rich","Saturated.O_poor","mean_signal_to_MDL","isoratioC13.1","isoratioC13.2","isoratio_O18","isoratioS34","isoratioN15","isoratioBr81.1","isoratioBr81.2","isoratioCu.i_65","isoratioCu.ii_65","isoratioFe.ii_54","isoratioFe.iii_54","isoratioZn.ii_66","isoratioNi.ii_60","isoratioCl37","isorat_sdC13.1","isorat_sdC13.2","isorat_sd_O18","isorat_sd_S34","isorat_sd_N15","homnetworkmember","diff_filter","alternative_formula","Sample1_masslistsNelha35_01_1-1-35_1_3586.csv","Sample2_masslistsNelha36_03_1-1-36_1_3580.csv","Sample3_masslistsNelha53_02_1-1-53_1_3620.csv","Sample4_masslistsNelha54_01_1-1-54_1_3598.csv","Sample5_masslistsNelha54_03_1-1-54_1_3608.csv"
0,101.024417534955,0.0010781,102.031693857,"C_4 H_6 O_3","C4H6O3","C_4 H_5 O_3",2,4,1.5,0.75,4,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025427.03124513,2071030,101.024417749379,0.0458938855694217,4,0,0.2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,2167657,2860261,NA,3022056,2371296
0,111.00876779046,0.0032585,112.016043857,"C_5 H_4 O_3","C5H4O3","C_5 H_3 O_3",2,5,0.8,0.6,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2030074.84055677,1736323.5,111.008767940021,0.102008972287926,4,0.5,0.71,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,2055213,2598803,NA,3176861,3420746
0,112.051657754184,0.1994977,113.058911631,"C_4 H_7 O_1 N_3","C4H7N3O","C_4 H_6 O_1 N_3",1,4,1.75,0.25,4,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2030540.2076854,1642701,112.051658421251,0.20799218497089,2,0,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,2157401,NA,NA,2145898,NA
0,113.024414686079,0.0240196,114.031693857,"C_5 H_6 O_3","C5H6O3","C_5 H_5 O_3",2,5,1.2,0.6,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2031005.68149314,1873746,113.024414711031,0.0818655989106058,4,0,0.43,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,2878185,2286389,3752156,NA,2951019
0,115.040067793113,0.0031711,116.047343857,"C_5 H_8 O_3","C5H8O3","C_5 H_7 O_3",2,5,1.6,0.6,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2031936.94924374,1915706.5,115.040067634809,0.0296579415760795,2,0,0.14,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,2575061,2415500
0,119.035019436911,0.3114902,120.042258476,"C_4 H_8 O_4","C4H8O4","C_4 H_7 O_4",1,4,2,1,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2033800.76597058,1743303.5,119.03501925012,0.0161972791099909,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,2146326,2139478
0,121.029498770815,0.033072,122.036779238,"C_7 H_6 O_2","C7H6O2","C_7 H_5 O_2",9,7,0.857,0.286,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2034733.3153385,1643859,121.029498523745,0.0578647231560522,3,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,FALSE,NA,2237035,NA,11780692,NA,6415618
0,122.061143394927,0.0504029,123.068413623,"C_7 H_9 O_1 N_1","C7H9NO","C_7 H_8 O_1 N_1",1,7,1.286,0.143,7,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2035199.7503593,1573448.66666667,122.061143485021,0.190450317595145,3,0.4,0.45,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,FALSE,NA,NA,NA,2936871,2239377,2591960
0,123.045160614095,0.0629411,124.052429238,"C_7 H_8 O_2","C7H8O2","C_7 H_7 O_2",8,7,1.143,0.286,7,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2035666.29230401,1853532.75,123.045160767256,0.102310163366665,4,0.4,0.5,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,FALSE,NA,2800664,2188289,NA,2543210,2898611
0,125.024421207436,0.0300083,126.031693857,"C_6 H_6 O_3","C6H6O3","C_6 H_5 O_3",2,6,1,0.5,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2036599.69706319,1569916,125.024421310574,0.0473759626552417,4,0.33,0.56,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,2367950,NA,4628915,3493664,3926125
