"id","mz","diff","reference","formula","formula_isotopefree","formula_ion","homseries","totalc","H.C","O.C","C","H","O","N","S","P","Cl","Na","C13","O18","N15","S34","Cl37","Co","Cu.i","Cu.ii","Cu65.i","Cu65.ii","Fe.ii","Fe.iii","Fe54.ii","Fe54.iii","Br79","Br81","Ni.ii","Ni60.ii","Zn.ii","Zn66.ii","I","MDL_3.3","ResPow","m1","SE","present_in","AI","AI.mod","DBE","Aromatic","Aromatic.O_rich","Aromatic.O_poor","Highly.unsaturated","Highly.unsaturated.O_rich","Highly.unsaturated.O_poor","Unsaturated","Unsaturated.O_rich","Unsaturated.O_poor","Unsaturated.with.N","Saturated","Saturated.O_rich","Saturated.O_poor","mean_signal_to_MDL","isoratioC13.1","isoratioC13.2","isoratio_O18","isoratioS34","isoratioN15","isoratioBr81.1","isoratioBr81.2","isoratioCu.i_65","isoratioCu.ii_65","isoratioFe.ii_54","isoratioFe.iii_54","isoratioZn.ii_66","isoratioNi.ii_60","isoratioCl37","isorat_sdC13.1","isorat_sdC13.2","isorat_sd_O18","isorat_sd_S34","isorat_sd_N15","homnetworkmember","diff_filter","alternative_formula","Sample1_masslistsMGC2102291_LSt_MALSt_FT-ICR-MS_PB-B1_1-1-2_1_3454.csv","Sample2_masslistsMGC2102291_LSt_MALSt_FT-ICR-MS_PB-B1_1-1-2_1_3462.csv","Sample3_masslistsMGC2102291_LSt_MALSt_FT-ICR-MS_PB-B1_1-1-2_1_3470.csv","Sample4_masslistsMGC2102291_LSt_MALSt_FT-ICR-MS_PB-B2_1-1-3_1_3456.csv","Sample5_masslistsMGC2102291_LSt_MALSt_FT-ICR-MS_PB-B2_1-1-3_1_3464.csv","Sample6_masslistsMGC2102291_LSt_MALSt_FT-ICR-MS_PB-B2_1-1-3_1_3592.csv","Sample7_masslistsMGC2102294_LSt_MALSt_FT-ICR-MS_STD-1_1-1-4_1_3458.csv","Sample8_masslistsMGC2102294_LSt_MALSt_FT-ICR-MS_STD-1_1-1-4_1_3466.csv","Sample9_masslistsMGC2102294_LSt_MALSt_FT-ICR-MS_STD-1_1-1-4_1_3474.csv","Sample10_masslistsMGC2102294_LSt_MALSt_FT-ICR-MS_STD-2_1-1-5_1_3478.csv","Sample11_masslistsMGC2102294_LSt_MALSt_FT-ICR-MS_STD-2_1-1-5_1_3486.csv","Sample12_masslistsMGC2102294_LSt_MALSt_FT-ICR-MS_STD-2_1-1-5_1_3494.csv"
0,101.060803229831,0.0041443,102.068079238,"C_5 H_10 O_2","C5H10O2","C_5 H_9 O_2",31,5,2,0.4,5,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2393253.30666368,1936970,101.060803709167,0.0393022310396521,4,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA,2763600,2676820,NA,3294079,3098438,NA,NA,NA
0,104.035320509424,0.0388414,105.042592861,"C_3 H_7 O_3 N_1","C3H7NO3","C_3 H_6 O_3 N_1",1,3,2.333,1,3,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2394590.31306366,2140310.33333333,104.035321257064,0.0917141082481928,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,2574886,2640573,NA,NA,NA,2470224,NA,NA,NA
0,109.065900991976,0.1163317,110.073164619,"C_7 H_10 O_1","C7H10O","C_7 H_9 O_1",8,7,1.429,0.143,7,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2396820.31710802,1478960.66666667,109.065901485948,0.0896284436713218,3,0.33,0.38,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,NA,NA,NA,NA,NA,3244882,2689197,3073367,NA,NA,NA,NA,NA
-1,111.081540720176,0.0225982,112.088814619,"C_7 H_12 O_1","C7H12O","C_7 H_11 O_1",9,7,1.714,0.143,7,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2397712.90010196,1908086.25,111.081541455552,0.0391567292660874,8,0.17,0.23,2,0,0,0,0,0,0,1,0,1,0,0,0,0,7.48,397.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.436985675435,NA,NA,NA,NA,20,FALSE,NA,NA,2489308,NA,26452432,28177386,29383426,18223378,16943792,19103320,2784520,NA,NA
-1,112.084881695097,0.1001573,113.092169454,"C_6 H_12 O_1 C13_1","C7H12O","C_6 H_11 O_1 C13_1",9,7,1.714,0.143,6,12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2398159.3162414,1741504.5,112.084882357557,0.0269708861853271,2,0.17,0.23,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1.27,397.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.436985675435,NA,NA,NA,NA,20,FALSE,NA,NA,NA,NA,3197211,NA,2909389,NA,NA,NA,NA,NA,NA
0,113.097185099155,0.0270629,114.104464619,"C_7 H_14 O_1","C7H14O","C_7 H_13 O_1",4,7,2,0.143,7,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2398605.81549645,1835655.66666667,113.097185776586,0.0113523237075962,6,0,0.08,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,FALSE,NA,NA,NA,NA,3943269,4251010,4484759,4573610,3181381,3775980,NA,NA,NA
0,114.09243786597,0.0058645,115.099713623,"C_6 H_13 O_1 N_1","C6H13NO","C_6 H_12 O_1 N_1",6,6,2.167,0.167,6,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2399052.39788259,1821951,114.092438550097,0.0552379235486719,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,FALSE,NA,NA,NA,NA,4606256,NA,3738977,NA,NA,NA,NA,NA,NA
0,115.040067430574,4.31e-05,116.047343857,"C_5 H_8 O_3","C5H8O3","C_5 H_7 O_3",20,5,1.6,0.6,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2399499.06341529,2008766,115.040068142183,0.0618823825790912,4,0,0.14,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA,3816732,2819887,3992646,NA,4302725,NA,NA,NA
0,115.076455140983,0.0201148,116.083729238,"C_6 H_12 O_2","C6H12O2","C_6 H_11 O_2",31,6,2,0.333,6,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2399499.06341529,1732364.11111111,115.076456031425,0.0704171386600657,9,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,2620700,2907279,2496300,5685500,6028571,4764205,8775748,8007131,6833027,NA,NA,NA
0,119.050238116448,0.0005914,120.057514619,"C_8 H_8 O_1","C8H8O","C_8 H_7 O_1",4,8,1,0.125,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2401286.55732136,1688335.22222222,119.050239217365,0.0269677983042502,9,0.57,0.6,5,1,0,1,0,0,0,0,0,0,0,0,0,0,2.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,FALSE,NA,3346263,9053640,5555801,3923505,5309010,NA,10621822,6599949,14016694,2526834,NA,NA
