"id","mz","diff","reference","formula","formula_isotopefree","formula_ion","homseries","totalc","H.C","O.C","C","H","O","N","S","P","Cl","Na","C13","O18","N15","S34","Cl37","Co","Cu.i","Cu.ii","Cu65.i","Cu65.ii","Fe.ii","Fe.iii","Fe54.ii","Fe54.iii","Br79","Br81","Ni.ii","Ni60.ii","Zn.ii","Zn66.ii","I","MDL_3.7","ResPow","m1","SE","present_in","AI","AI.mod","DBE","Aromatic","Aromatic.O_rich","Aromatic.O_poor","Highly.unsaturated","Highly.unsaturated.O_rich","Highly.unsaturated.O_poor","Unsaturated","Unsaturated.O_rich","Unsaturated.O_poor","Unsaturated.with.N","Saturated","Saturated.O_rich","Saturated.O_poor","mean_signal_to_MDL","isoratioC13.1","isoratioC13.2","isoratio_O18","isoratioS34","isoratioN15","isoratioBr81.1","isoratioBr81.2","isoratioCu.i_65","isoratioCu.ii_65","isoratioFe.ii_54","isoratioFe.iii_54","isoratioZn.ii_66","isoratioNi.ii_60","isoratioCl37","isorat_sdC13.1","isorat_sdC13.2","isorat_sd_O18","isorat_sd_S34","isorat_sd_N15","homnetworkmember","mean_of_ratio_deviance","diff_filter","alternative_formula","Sample1_masslistsMGC2101810_LSt_MA_FTMS_PB_4_01_1-2-13_1_21358.csv","Sample2_masslistsMGC2101810_LSt_MA_FTMS_PB_4_02_1-2-13_1_21368.csv","Sample3_masslistsMGC2101810_LSt_MA_FTMS_PB_4_03_1-2-13_1_21378.csv","Sample4_masslistsMGC2101821_LSt_MA_FTMS_STD1_B1_01_1-2-6_1_21280.csv","Sample5_masslistsMGC2101821_LSt_MA_FTMS_STD1_B1_01_1-2-8_1_21306.csv","Sample6_masslistsMGC2101821_LSt_MA_FTMS_STD1_B1_02_1-2-6_1_21290.csv","Sample7_masslistsMGC2101821_LSt_MA_FTMS_STD1_B2_02_1-2-8_1_21314.csv","Sample8_masslistsMGC2101821_LSt_MA_FTMS_STD1_B2_03_1-2-6_1_21298.csv","Sample9_masslistsMGC2101821_LSt_MA_FTMS_STD1_B2_03_1-2-8_1_21324.csv"
0,111.081549532982,0.1012233,112.088814619,"C_7 H_12 O_1","C7H12O","C_7 H_11 O_1",7,7,1.714,0.143,7,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3364899.97968241,1851892.75,111.08154969431,0.0375319304493683,4,0.17,0.23,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,Inf,FALSE,NA,3526079,NA,NA,4863854,NA,4102173,NA,4799621,NA
-1,120.045485812621,0.0113917,121.052763623,"C_7 H_7 O_1 N_1","C7H7NO","C_7 H_6 O_1 N_1",2,7,1,0.143,7,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3369834.04103754,1565153,120.045489569247,0.000638312666968788,3,0.6,0.64,5,1,0,1,0,0,0,0,0,0,0,0,0,0,14.93,-28.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.5549211794742,NA,NA,NA,NA,347,28.67,FALSE,NA,NA,NA,NA,51706036,NA,49279296,NA,49944000,NA
-3,121.02949954938,0.0266887,122.036779238,"C_7 H_6 O_2","C7H6O2","C_7 H_5 O_2",12,7,0.857,0.286,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3370382.71648638,1587536.88888889,121.029502826943,0.0204036678355736,9,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,617.4,-125.14,-179.69,-118.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.522665435461,39.6386347079991,58.3337880979982,NA,NA,4,141.03,FALSE,NA,149472304,93881064,64742332,6142248960,17861874,6231900672,10513611,6005409280,11905835
-1,121.048832993203,0.0740069,122.056118458,"C_6 H_7 O_1 N_1 C13_1","C7H7NO","C_6 H_6 O_1 N_1 C13_1",2,7,1,0.143,6,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3370382.71648638,1732682,121.048836787894,0.0463500512187491,3,0.6,0.64,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1.13,-28.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.5549211794742,NA,NA,NA,NA,347,28.67,FALSE,NA,NA,NA,NA,3838598,NA,4042002,NA,3592593,NA
0,121.065889882871,0.0138851,122.073164619,"C_8 H_10 O_1","C8H10O","C_8 H_9 O_1",1,8,1.25,0.125,8,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3370382.71648638,1686070,121.065893671816,0.00651227466813111,3,0.43,0.47,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,Inf,FALSE,NA,NA,NA,NA,4400261,NA,3720465,NA,4141456,NA
-1,122.032860101493,0.0199935,123.040134073,"C_6 H_6 O_2 C13_1","C7H6O2","C_6 H_5 O_2 C13_1",12,7,0.857,0.286,6,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3370931.48127042,1612338.66666667,122.032863531364,0.0350385097870985,6,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,63.26,-125.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.522665435461,39.6386347079991,NA,NA,NA,4,125.14,FALSE,NA,10276858,6688952,5787535,418334816,NA,432652512,NA,405751136,NA
-1,123.033749161134,0.0002096,124.041025619,"C_7 H_6 O_1 O18_1","C7H6O2","C_7 H_5 O_1 O18_1",12,7,0.857,0.286,7,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3371480.33540418,1559485,123.033753001657,0.00720840960909833,3,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,6.43,NA,NA,-118.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.3337880979982,NA,NA,4,118.27,FALSE,NA,NA,NA,NA,20121650,NA,22505656,NA,22377788,NA
-1,123.036214486656,0.016204,124.043488908,"C_5 H_6 O_2 C13_2","C7H6O2","C_5 H_5 O_2 C13_2",12,7,0.857,0.286,5,6,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3371480.33540418,1621924.66666667,123.036218330629,0.00681966089558433,3,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,3.91,NA,-179.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.6386347079991,NA,NA,NA,4,179.69,FALSE,NA,NA,NA,NA,12877874,NA,13037752,NA,13659451,NA
0,123.081537379362,0.0065115,124.088814619,"C_8 H_12 O_1","C8H12O","C_8 H_11 O_1",3,8,1.5,0.125,8,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3371480.33540418,1607208,123.081539991581,0.023312173640825,4,0.29,0.33,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,Inf,FALSE,NA,3701195,NA,5128033,4525104,NA,5119670,NA,NA,NA
0,125.024429870786,0.098745,126.031693857,"C_6 H_6 O_3","C6H6O3","C_6 H_5 O_3",8,6,1,0.5,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3372578.31177909,1601801.5,125.024433453153,0.0699422977530316,2,0.33,0.56,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Inf,FALSE,NA,NA,NA,NA,NA,NA,3435111,NA,4103406,NA
