"id","mz","diff","reference","formula","formula_isotopefree","formula_ion","homseries","totalc","H.C","O.C","C","H","O","N","S","P","Cl","Na","C13","O18","N15","S34","Cl37","Co","Cu.i","Cu.ii","Cu65.i","Cu65.ii","Fe.ii","Fe.iii","Fe54.ii","Fe54.iii","Br79","Br81","Ni.ii","Ni60.ii","Zn.ii","Zn66.ii","I","MDL_3.5","ResPow","m1","SE","present_in","AI","AI.mod","DBE","Aromatic","Aromatic.O_rich","Aromatic.O_poor","Highly.unsaturated","Highly.unsaturated.O_rich","Highly.unsaturated.O_poor","Unsaturated","Unsaturated.O_rich","Unsaturated.O_poor","Unsaturated.with.N","Saturated","Saturated.O_rich","Saturated.O_poor","mean_signal_to_MDL","isoratioC13.1","isoratioC13.2","isoratio_O18","isoratioS34","isoratioN15","isoratioBr81.1","isoratioBr81.2","isoratioCu.i_65","isoratioCu.ii_65","isoratioFe.ii_54","isoratioFe.iii_54","isoratioZn.ii_66","isoratioNi.ii_60","isoratioCl37","isorat_sdC13.1","isorat_sdC13.2","isorat_sd_O18","isorat_sd_S34","homnetworkmember","diff_filter","alternative_formula","Sample1_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B1_1-1-19_1_3604.csv","Sample2_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B1_1-1-19_1_3610.csv","Sample3_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B1_1-1-19_1_3616.csv","Sample4_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B2_1-1-20_1_3606.csv","Sample5_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B2_1-1-20_1_3612.csv","Sample6_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B2_1-1-20_1_3618.csv","Sample7_masslistsMGC2102295_LSt_MALSt_FT-ICR-MS_STD-D1_1-1-21_1_3622.csv","Sample8_masslistsMGC2102295_LSt_MALSt_FT-ICR-MS_STD-D1_1-1-21_1_3628.csv","Sample9_masslistsMGC2102295_LSt_MALSt_FT-ICR-MS_STD-D1_1-1-21_1_3634.csv","Sample10_masslistsMGC2102295_LSt_MALSt_FT-ICR-MS_STD-D2_1-1-23_1_3640.csv","Sample11_masslistsMGC2102295_LSt_MALSt_FT-ICR-MS_STD-D2_1-1-23_1_3646.csv","Sample12_masslistsMGC2102295_LSt_MALSt_FT-ICR-MS_STD-D2_1-1-23_1_3652.csv"
0,119.050233397939,0.0398892,120.057514619,"C_8 H_8 O_1","C8H8O","C_8 H_7 O_1",1,8,1,0.125,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2494454.62476211,1615036.33333333,119.050233397939,0.0371020907670873,3,0.57,0.6,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,FALSE,NA,NA,NA,3745745,NA,NA,2721659,5159511,NA,NA,NA,NA,NA
0,120.045486575997,0.0050804,121.052763623,"C_7 H_7 O_1 N_1","C7H7NO","C_7 H_6 O_1 N_1",1,7,1,0.143,7,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2495028.22434343,1787086.33333333,120.045486575997,0.0292333139665136,12,0.6,0.64,5,1,0,1,0,0,0,0,0,0,0,0,0,0,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,FALSE,NA,5193036,6060240,4968354,4515263,3681296,3965386,7963688,9278208,8944566,6205980,6536575,6123524
-3,121.029502394895,0.003376,122.036779238,"C_7 H_6 O_2","C7H6O2","C_7 H_5 O_2",4,7,0.857,0.286,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2495601.95582392,1576643.58333333,121.029502394895,0.0113316370084398,12,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,504.23,-81.95,15.47,-74.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3203581712107,133.539436942304,144.887182960772,NA,6,FALSE,NA,1220886784,1226390656,1327710080,1204108672,1210662912,1294678912,1103314944,1043676864,1173961600,1453539328,1413169536,1428242944
-1,122.032858853986,0.0098586,123.040134073,"C_6 H_6 O_2 C13_1","C7H6O2","C_6 H_5 O_2 C13_1",4,7,0.857,0.286,6,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2496175.81923391,1551751.5,122.032858853986,0.0108738250206413,12,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,36.22,-81.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3203581712107,133.539436942304,NA,NA,6,FALSE,NA,84820216,87948408,97402696,87301480,88661944,92404592,77701072,74661544,84630368,105701320,101867824,101818792
-1,123.033747083082,0.0169621,124.041025619,"C_7 H_6 O_1 O18_1","C7H6O2","C_7 H_5 O_1 O18_1",4,7,0.857,0.286,7,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2496749.81460372,1618672.5,123.033747083082,0.0420780322441347,12,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1.87,NA,NA,-74.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.887182960772,NA,6,FALSE,NA,6142165,5435472,5243170,4699452,3938193,4086082,3645092,3994756,3739957,5623197,4411143,5125506
-1,123.036211452838,0.0082552,124.043488908,"C_5 H_6 O_2 C13_2","C7H6O2","C_5 H_5 O_2 C13_2",4,7,0.857,0.286,5,6,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2496749.81460372,1719894.9,123.036211452838,0.0582455358685724,10,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1.38,NA,15.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.539436942304,NA,NA,6,FALSE,NA,3157461,2701392,3886369,3116348,3588753,4251458,2872996,NA,NA,3039388,3840263,3884418
0,125.097187441825,0.0059157,126.104464619,"C_8 H_14 O_1","C8H14O","C_8 H_13 O_1",1,8,1.75,0.125,8,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2497898.20134423,1657437.88888889,125.097187441825,0.0303711228434307,9,0.14,0.2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,FALSE,NA,5202061,3520002,4673236,NA,NA,NA,4660053,4323384,4988136,4684623,4277438,3884596
0,128.035313224873,0.0248368,129.042592861,"C_5 H_7 O_3 N_1","C5H7NO3","C_5 H_6 O_3 N_1",1,5,1.4,0.6,5,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2499621.77191255,1840611,128.035313224873,0.0553543583732144,3,0,0.2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA,NA,NA,3692280,3213792,4221581,NA,NA,NA
0,129.05571081913,0.0507908,130.062993857,"C_6 H_10 O_3","C6H10O3","C_6 H_9 O_3",1,6,1.667,0.5,6,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500196.55967882,1534878,129.05571081913,0.0816383170517851,2,0,0.11,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA,2558931,NA,3225822,NA,NA,NA,NA,NA
0,138.019658100009,0.0599093,139.026942861,"C_6 H_5 O_3 N_1","C6H5NO3","C_6 H_4 O_3 N_1",1,6,0.833,0.5,6,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2505375.60098134,1604757.33333333,138.019658100009,0.0947156214527343,3,0.5,0.71,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,2902610,NA,2574160,2568890,NA,NA,NA,NA,NA
