"id","mz","diff","reference","formula","formula_isotopefree","formula_ion","homseries","totalc","H.C","O.C","C","H","O","N","S","P","Cl","Na","C13","O18","N15","S34","Cl37","Co","Cu.i","Cu.ii","Cu65.i","Cu65.ii","Fe.ii","Fe.iii","Fe54.ii","Fe54.iii","Br79","Br81","Ni.ii","Ni60.ii","Zn.ii","Zn66.ii","I","MDL_3.5","ResPow","m1","SE","present_in","AI","AI.mod","DBE","Aromatic","Aromatic.O_rich","Aromatic.O_poor","Highly.unsaturated","Highly.unsaturated.O_rich","Highly.unsaturated.O_poor","Unsaturated","Unsaturated.O_rich","Unsaturated.O_poor","Unsaturated.with.N","Saturated","Saturated.O_rich","Saturated.O_poor","mean_signal_to_MDL","isoratioC13.1","isoratioC13.2","isoratio_O18","isoratioS34","isoratioN15","isoratioBr81.1","isoratioBr81.2","isoratioCu.i_65","isoratioCu.ii_65","isoratioFe.ii_54","isoratioFe.iii_54","isoratioZn.ii_66","isoratioNi.ii_60","isoratioCl37","isorat_sdC13.1","isorat_sdC13.2","isorat_sd_O18","isorat_sd_S34","isorat_sd_N15","homnetworkmember","mean_of_ratio_deviance","diff_filter","alternative_formula","Sample1_masslistsMGC2101811_LSt_MA_FTMS_PB_5_01_1-2-31_1_21540.csv","Sample2_masslistsMGC2101811_LSt_MA_FTMS_PB_5_02_1-2-31_1_21550.csv","Sample3_masslistsMGC2101811_LSt_MA_FTMS_PB_5_03_1-2-31_1_21560.csv","Sample4_masslistsMGC2101819_LSt_MA_FTMS_STD10_A1_01_1-2-11_1_21332.csv","Sample5_masslistsMGC2101819_LSt_MA_FTMS_STD10_A1_02_1-2-11_1_21342.csv","Sample6_masslistsMGC2101819_LSt_MA_FTMS_STD10_A1_03_1-2-11_1_21350.csv","Sample7_masslistsMGC2101819_LSt_MA_FTMS_STD10_A2_01_1-2-2_1_21252.csv","Sample8_masslistsMGC2101819_LSt_MA_FTMS_STD10_A2_02_1-2-2_1_21260.csv","Sample9_masslistsMGC2101819_LSt_MA_FTMS_STD10_A2_03_1-2-2_1_21270.csv","Sample10_masslistsMGC2101820_LSt_MA_FTMS_STD1_A1_01_1-2-15_1_21362.csv","Sample11_masslistsMGC2101820_LSt_MA_FTMS_STD1_A1_02_1-2-15_1_21372.csv","Sample12_masslistsMGC2101820_LSt_MA_FTMS_STD1_A1_03_1-2-15_1_21382.csv","Sample13_masslistsMGC2101820_LSt_MA_FTMS_STD1_A2_01_1-2-17_1_21390.csv","Sample14_masslistsMGC2101820_LSt_MA_FTMS_STD1_A2_02_1-2-17_1_21400.csv","Sample15_masslistsMGC2101820_LSt_MA_FTMS_STD1_A2_03_1-2-17_1_21410.csv","Sample16_masslistsMGC2101822_LSt_MA_FTMS_STD01_A1_01_1-2-4_1_21276.csv","Sample17_masslistsMGC2101822_LSt_MA_FTMS_STD01_A1_02_1-2-4_1_21286.csv","Sample18_masslistsMGC2101822_LSt_MA_FTMS_STD01_A1_03_1-2-4_1_21294.csv","Sample19_masslistsMGC2101822_LSt_MA_FTMS_STD01_A2_01_1-2-10_1_21330.csv","Sample20_masslistsMGC2101822_LSt_MA_FTMS_STD01_A2_02_1-2-10_1_21340.csv","Sample21_masslistsMGC2101822_LSt_MA_FTMS_STD01_A2_03_1-2-10_1_21348.csv"
0,101.02442061772,0.0312844,102.031693857,"C_4 H_6 O_3","C4H6O3","C_4 H_5 O_3",1,4,1.5,0.75,4,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3257529.70514896,2024032.66666667,101.02442061772,0.0166520171131957,3,0,0.2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Inf,FALSE,NA,NA,NA,NA,3577629,3345326,3466612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,111.081541864955,0.0328133,112.088814619,"C_7 H_12 O_1","C7H12O","C_7 H_11 O_1",6,7,1.714,0.143,7,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3263809.16890189,1670101.66666667,111.081543292769,0.0196388299570235,6,0.17,0.23,2,0,0,0,0,0,0,1,0,1,0,0,0,0,2.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,Inf,FALSE,NA,NA,NA,NA,3528202,NA,NA,NA,NA,NA,4452242,3627562,NA,NA,NA,NA,NA,NA,NA,10953615,11653028,11593818
0,119.034986456496,0.0367537,120.042258476,"C_4 H_8 O_4","C4H8O4","C_4 H_7 O_4",1,4,2,1,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3268841.45422305,1526400.6,119.034988963469,0.0797454676174004,5,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Inf,FALSE,NA,NA,NA,NA,9300454,8402304,9645202,4176185,3487424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,119.050234386367,0.0316598,120.057514619,"C_8 H_8 O_1","C8H8O","C_8 H_7 O_1",1,8,1,0.125,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3268841.45422305,1685829.33333333,119.050236134817,0.0286674709206331,6,0.57,0.6,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Inf,FALSE,NA,8354116,7373130,7388177,NA,NA,4372114,NA,4248255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3339756,NA,NA
-1,120.045485762786,0.0118048,121.052763623,"C_7 H_7 O_1 N_1","C7H7NO","C_7 H_6 O_1 N_1",2,7,1,0.143,7,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3269471.03519773,1574489.55555556,120.04548794596,0.00967463342368311,18,0.6,0.64,5,1,0,1,0,0,0,0,0,0,0,0,0,0,66.83,19.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.092771328664,NA,NA,NA,NA,904,19.06,FALSE,NA,69657360,69165848,66920928,452051904,462899008,460112992,567953152,590366080,598033856,88491192,86803032,82674520,82830016,81511944,85328816,NA,NA,NA,28142524,29315022,30727776
-3,121.029498964769,0.0314823,122.036779238,"C_7 H_6 O_2","C7H6O2","C_7 H_5 O_2",8,7,0.857,0.286,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3270100.7374301,1583427.42857143,121.029500702415,0.0202362547771586,21,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1295.96,-92.85,-143.6,-95.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.557750066193,134.749729096889,86.2435111390685,NA,NA,11,110.79,FALSE,NA,15024735232,15001666560,14988034048,7211795456,7582992384,7562019840,1437026048,1520256384,1417364864,1313424512,1302413824,1302545152,1650541184,1688421888,1690911616,49690724,60048212,148342720,2689811456,2648131584,2705802752
-1,121.048837458398,0.0374254,122.056118458,"C_6 H_7 O_1 N_1 C13_1","C7H7NO","C_6 H_6 O_1 N_1 C13_1",2,7,1,0.143,6,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3270100.7374301,1679517.875,121.048839690508,0.0166811710878834,16,0.6,0.64,5,1,0,1,0,0,0,0,0,0,0,0,0,0,5.91,19.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.092771328664,NA,NA,NA,NA,904,19.06,FALSE,NA,5708000,6969062,6417330,37397380,39491360,37868596,42763988,43865436,44979580,6096009,7397931,7786279,6981263,6707673,5258112,NA,NA,NA,NA,3280799,NA
-2,122.032860278373,0.021432,123.040134073,"C_6 H_6 O_2 C13_1","C7H6O2","C_6 H_5 O_2 C13_1",8,7,0.857,0.286,6,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3270730.56094354,1570192.95238095,122.032862030884,0.0160504836761512,21,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,91.99,-92.85,NA,-13.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.557750066193,134.749729096889,122.238455088572,NA,NA,11,53.05,FALSE,NA,1107378816,1109213824,1100956032,494355296,519915264,517161984,90261152,98190640,89646408,91964504,91218432,89326328,115073632,117982632,117654352,3521594,4425512,10797967,182879072,179160944,187090432
-2,123.033749513535,0.0026282,124.041025619,"C_7 H_6 O_1 O18_1","C7H6O2","C_7 H_5 O_1 O18_1",8,7,0.857,0.286,7,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3271360.50576139,1601924.44444444,123.033751353191,0.0250751113893653,18,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,5.47,32.38,NA,-95.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.658892946722,NA,86.2435111390685,NA,NA,11,64.15,FALSE,NA,54076036,55263880,53182812,26028844,26134216,25099228,5488758,5521665,4757791,5944368,5267923,5210828,7279672,6674817,6860072,NA,NA,NA,10396467,8976198,9640397
-1,123.036215056748,0.0207992,124.043488908,"C_5 H_6 O_2 C13_2","C7H6O2","C_5 H_5 O_2 C13_2",8,7,0.857,0.286,5,6,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3271360.50576139,1631058.6,123.036216959041,0.0316441523893217,15,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,3.86,NA,-143.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.749729096889,NA,NA,NA,11,143.6,FALSE,NA,32821892,32924298,32784730,14828332,18204360,15086556,4259446,NA,3743263,NA,4119763,3475148,3294264,NA,4583208,NA,NA,NA,6134068,6809414,6245325
