"id","mz","diff","reference","formula","formula_isotopefree","formula_ion","homseries","totalc","H.C","O.C","C","H","O","N","S","P","Cl","Na","C13","O18","N15","S34","Cl37","Co","Cu.i","Cu.ii","Cu65.i","Cu65.ii","Fe.ii","Fe.iii","Fe54.ii","Fe54.iii","Br79","Br81","Ni.ii","Ni60.ii","Zn.ii","Zn66.ii","I","MDL_3.7","ResPow","m1","SE","present_in","AI","AI.mod","DBE","Aromatic","Aromatic.O_rich","Aromatic.O_poor","Highly.unsaturated","Highly.unsaturated.O_rich","Highly.unsaturated.O_poor","Unsaturated","Unsaturated.O_rich","Unsaturated.O_poor","Unsaturated.with.N","Saturated","Saturated.O_rich","Saturated.O_poor","mean_signal_to_MDL","isoratioC13.1","isoratioC13.2","isoratio_O18","isoratioS34","isoratioN15","isoratioBr81.1","isoratioBr81.2","isoratioCu.i_65","isoratioCu.ii_65","isoratioFe.ii_54","isoratioFe.iii_54","isoratioZn.ii_66","isoratioNi.ii_60","isoratioCl37","isorat_sdC13.1","isorat_sdC13.2","isorat_sd_O18","isorat_sd_S34","isorat_sd_N15","homnetworkmember","mean_of_ratio_deviance","diff_filter","alternative_formula","Sample1_masslistsSTD1_LSt_MA_FTMS_STD1_01_1-2-34_1_21572.csv","Sample2_masslistsSTD1_LSt_MA_FTMS_STD1_02_1-2-34_1_21580.csv","Sample3_masslistsSTD1_LSt_MA_FTMS_STD1_03_1-2-34_1_21588.csv","Sample4_masslistsSTD2_LSt_MA_FTMS_STD2_01_1-2-45_1_21724.csv","Sample5_masslistsSTD2_LSt_MA_FTMS_STD2_02_1-2-45_1_21734.csv","Sample6_masslistsSTD2_LSt_MA_FTMS_STD2_03_1-2-45_1_21744.csv","Sample7_masslistsSTD3_LSt_MA_FTMS_STD3_01_1-2-36_1_21598.csv","Sample8_masslistsSTD3_LSt_MA_FTMS_STD3_02_1-2-36_1_21606.csv","Sample9_masslistsSTD3_LSt_MA_FTMS_STD3_03_1-2-36_1_21614.csv","Sample10_masslistsStock STD_LSt_MA_FTMS_Stock STD_01_1-2-38_1_21624.csv","Sample11_masslistsStock STD_LSt_MA_FTMS_Stock STD_02_1-2-38_1_21634.csv","Sample12_masslistsStock STD_LSt_MA_FTMS_Stock STD_03_1-2-38_1_21644.csv"
0,100.040393179737,0.0854151,101.047678242,"C_4 H_7 O_2 N_1","C4H7NO2","C_4 H_6 O_2 N_1",1,4,1.75,0.5,4,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3219547.53443979,2129889.75,100.040402066795,0.0648265881954575,4,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408,Inf,FALSE,NA,NA,NA,NA,NA,NA,NA,3295933,NA,3482498,3888341,4183883,NA
0,101.02442174414,0.04233,102.031693857,"C_4 H_6 O_3","C4H6O3","C_4 H_5 O_3",3,4,1.5,0.75,4,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3220450.15179563,1791351.375,101.024425945408,0.0777208644520574,8,0,0.2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Inf,FALSE,NA,20197756,NA,NA,NA,NA,77851576,11617958,10653641,18844756,17532552,17107168,16838832
0,113.024416424496,0.0087783,114.031693857,"C_5 H_6 O_3","C5H6O3","C_5 H_5 O_3",2,5,1.2,0.6,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3231301.31855089,1707198.83333333,113.024415926345,0.0314662464567187,6,0,0.43,3,0,0,0,1,1,0,0,0,0,0,0,0,0,5.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Inf,FALSE,NA,16790898,15791850,NA,25429448,26832986,26022062,NA,NA,NA,4206224,NA,NA
0,113.035603933256,0.4110822,114.042927246,"C_4 H_6 O_2 N_2","C4H6N2O2","C_4 H_5 O_2 N_2",1,4,1.5,0.5,4,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3231301.31855089,1934500,113.035613259492,0.129788723463093,2,0,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,608,Inf,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3255567,3693307,NA
0,115.040069507809,0.017941,116.047343857,"C_5 H_8 O_3","C5H8O3","C_5 H_7 O_3",3,5,1.6,0.6,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3233113.39771238,1698687.33333333,115.040067710575,0.00773029362427293,3,0,0.14,2,0,0,0,0,0,0,1,1,0,0,0,0,0,6.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Inf,FALSE,NA,NA,NA,NA,24127810,22130638,21461020,NA,NA,NA,NA,NA,NA
0,116.071695774004,0.0515549,117.078978242,"C_5 H_11 O_2 N_1","C5H11NO2","C_5 H_10 O_2 N_1",1,5,2.2,0.4,5,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3234019.81833048,1960610,116.071710611708,0.0554947130256791,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,411,Inf,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,5508185,NA,3763497,NA
0,118.069594693577,0.0010162,119.076871004,"C_5 H_13 N_1 S_1","C5H13NS","C_5 H_12 N_1 S_1",1,5,2.6,0,5,13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3235833.42199752,1189760,118.069603615019,0.0732183911003688,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501,Inf,FALSE,NA,NA,NA,NA,NA,3899266,NA,NA,NA,3282505,NA,NA,NA
-1,119.034989657151,0.0634193,120.042258476,"C_4 H_8 O_4","C4H8O4","C_4 H_7 O_4",6,4,2,1,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3236740.60518895,1558289.7,119.034993794057,0.102665071059045,10,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,21.38,205.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212.849528390113,NA,NA,NA,NA,2,205.03,FALSE,NA,80143440,73056696,NA,61751360,60600004,61677312,52196096,55198740,77357448,NA,82314080,87615160
-1,120.038341153112,0.035309,121.045613311,"C_3 H_8 O_4 C13_1","C4H8O4","C_3 H_7 O_4 C13_1",6,4,2,1,3,8,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3237648.04271405,1698605.66666667,120.038345276709,0.112347346098046,9,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1.17,205.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212.849528390113,NA,NA,NA,NA,2,205.03,FALSE,NA,3798307,3707528,NA,NA,3285380,3841725,3360212,3431397,3601985,NA,5492004,3440248
-2,121.029499604519,0.026238,122.036779238,"C_7 H_6 O_2","C7H6O2","C_7 H_5 O_2",3,7,0.857,0.286,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3238555.73464411,1561568.81818182,121.029502446382,0.0675575767977376,11,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,77.47,-98.22,NA,616.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.4568583039212,NA,324.570960925003,NA,NA,13,357.53,FALSE,NA,223626224,159727968,NA,616652736,631004736,579493504,12509865,7123897,10906879,20468074,252994272,245327424
