"mz","MDL_3.6","ResPow","refe","m1","SE","Sample1_masslistsMGC2102290_LSt_MALSt_FT-ICR-MS_PB-A1_1-1-14_1_3552.csv","Sample2_masslistsMGC2102290_LSt_MALSt_FT-ICR-MS_PB-A1_1-1-14_1_3560.csv","Sample3_masslistsMGC2102290_LSt_MALSt_FT-ICR-MS_PB-A1_1-1-14_1_3568.csv","Sample4_masslistsMGC2102290_LSt_MALSt_FT-ICR-MS_PB-A2_1-1-15_1_3554.csv","Sample5_masslistsMGC2102290_LSt_MALSt_FT-ICR-MS_PB-A2_1-1-15_1_3562.csv","Sample6_masslistsMGC2102290_LSt_MALSt_FT-ICR-MS_PB-A2_1-1-15_1_3570.csv","Sample7_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-1_1-1-16_1_3556.csv","Sample8_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-1_1-1-16_1_3564.csv","Sample9_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-1_1-1-16_1_3572.csv","Sample10_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-2_1-1-17_1_3576.csv","Sample11_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-2_1-1-17_1_3582.csv","Sample12_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-2_1-1-17_1_3588.csv","Sample13_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-3_1-1-18_1_3578.csv","Sample14_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-3_1-1-18_1_3584.csv","Sample15_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-3_1-1-18_1_3590.csv"
95.9522807016027,2682406.75386934,2031659.13333333,NA,95.9522807655615,0.0294802837329931,15669502,16084512,15336033,6897958,6935047,6683601,12712084,13448518,13912493,10358459,11179435,11355085,9382571,11546235,10923077
96.3777775,2682406.75386934,1961734,NA,96.3777775,NA,NA,NA,NA,NA,NA,NA,NA,NA,2888453,NA,NA,NA,NA,NA,NA
96.7988624,2682658.33410772,1770850,NA,96.7988624,NA,NA,NA,NA,NA,NA,NA,NA,NA,2724933,NA,NA,NA,NA,NA,NA
96.8387642,2682658.33410772,2007017,NA,96.8387642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2803661
96.960015762291,2682658.33410772,2354303.21428571,NA,96.9600158319112,0.0232697963675377,14256012,12993326,13733870,7633858,NA,6107358,13240512,12040563,13810202,8190537,9209976,9321882,6954840,7776874,7515827
96.9601052537949,2682658.33410772,1945151.53333333,NA,96.9601053226322,0.0247308145427037,188578512,186436784,185792368,95060416,92087832,93194464,185377472,183589232,184502496,124183496,126771576,130822936,99157624,98859720,106027952
97.0324322,2682658.33410772,1588580,NA,97.0324322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3030463,NA,NA,NA,NA,NA
97.0658912161174,2682658.33410772,2150740.66666667,NA,97.0658915116793,0.0124303719388706,NA,NA,NA,NA,NA,NA,3289950,3042201,2850983,NA,NA,NA,NA,NA,NA
97.1432238,2682658.33410772,2039772,NA,97.1432238,NA,NA,NA,NA,NA,NA,NA,NA,NA,2788398,NA,NA,NA,NA,NA,NA
97.2366072,2682658.33410772,1435814,NA,97.2366072,NA,NA,NA,NA,2697612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97.7619017,2682909.93794156,1748970,NA,97.7619017,NA,NA,2687493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
