"mz","MDL_3.7","ResPow","refe","m1","SE","Sample1_masslistsMGC2101810_LSt_MA_FTMS_PB_4_01_1-2-13_1_21358.csv","Sample2_masslistsMGC2101810_LSt_MA_FTMS_PB_4_02_1-2-13_1_21368.csv","Sample3_masslistsMGC2101810_LSt_MA_FTMS_PB_4_03_1-2-13_1_21378.csv","Sample4_masslistsMGC2101821_LSt_MA_FTMS_STD1_B1_01_1-2-6_1_21280.csv","Sample5_masslistsMGC2101821_LSt_MA_FTMS_STD1_B1_01_1-2-8_1_21306.csv","Sample6_masslistsMGC2101821_LSt_MA_FTMS_STD1_B1_02_1-2-6_1_21290.csv","Sample7_masslistsMGC2101821_LSt_MA_FTMS_STD1_B2_02_1-2-8_1_21314.csv","Sample8_masslistsMGC2101821_LSt_MA_FTMS_STD1_B2_03_1-2-6_1_21298.csv","Sample9_masslistsMGC2101821_LSt_MA_FTMS_STD1_B2_03_1-2-8_1_21324.csv"
92.9280279993489,3387346.52665926,2201873.28571429,NA,92.9280279993489,0.0271646518989793,3437796,3452086,3893161,NA,3423152,3446194,NA,4017788,3975694
93.0568774862918,3387346.52665926,2239498.33333333,NA,93.0568774862918,0.0143102332941295,NA,NA,NA,4596295,NA,4061418,NA,3532223,NA
94.9250752669929,3388442.62815094,2108748.2,NA,94.9250752669929,0.0356546844259769,4278823,3396696,NA,NA,3750747,NA,3714304,3521536,NA
96.2746317930459,3388990.81189619,2586524,NA,96.2746317930459,0.0235029898733639,NA,NA,NA,3824899,NA,3891978,NA,NA,NA
100.93362433941,3391733.0611906,1998392.33333333,NA,100.933625057697,0.00908718734300734,7158948,7371966,7659803,NA,NA,NA,NA,NA,NA
100.9982211,3391733.0611906,1812401,NA,100.9982211,NA,NA,NA,NA,NA,NA,NA,3443515,NA,NA
102.1181362,3392281.77726357,2110258,NA,102.1181362,NA,NA,NA,NA,NA,NA,NA,3447220,NA,NA
103.749165,3393379.47573846,1480796,NA,103.749165,NA,NA,NA,NA,NA,NA,NA,3496022,NA,NA
104.193046613339,3393379.47573846,1599683,NA,104.1930475,NA,NA,NA,3746137,NA,NA,NA,NA,NA,NA
104.2698517,3393379.47573846,1679949,NA,104.2698517,NA,NA,NA,NA,NA,NA,NA,NA,3594122,NA
105.5641569,3394477.52941436,1725724,NA,105.5641569,NA,NA,NA,NA,NA,NA,NA,3399403,NA,NA
111.081549300708,3397224.21836295,1851892.75,NA,111.08154969431,0.0393850137361494,3526079,NA,NA,4863854,NA,4102173,NA,4799621,NA
114.617619,3399423.1696512,1614224,NA,114.617619,NA,NA,NA,NA,NA,NA,NA,3627386,NA,NA
115.920710323796,3399973.12983331,1748491.4,NA,115.920710950357,0.0139404144364215,20103474,19333094,18464960,5117049,NA,NA,NA,4413579,NA
116.920852717813,3400523.17898822,1661739.5,NA,116.92085321748,0.043944481736433,7648509,6417842,7129226,3805256,NA,NA,NA,3728216,3945461
116.9284067,3400523.17898822,1969218,NA,116.9284067,NA,NA,NA,NA,NA,NA,3770593,NA,NA,NA
116.928536366834,3400523.17898822,1626395.77777778,NA,116.928538010887,0.012576280170591,38192380,37000112,37426312,47360328,30807480,50102752,29068680,50058840,29630452
117.919088596533,3401073.31713033,1819114,NA,117.9190896,NA,NA,NA,3886422,NA,NA,NA,NA,NA,NA
117.928676382248,3401073.31713033,1683004,NA,117.92867797556,0.0354394174022053,6573255,5770110,6311510,8032022,5853574,7044525,6751065,8852005,6153665
118.926903968871,3401623.54427404,1556225,NA,118.926908032948,0.0101340183136968,NA,NA,NA,4158183,NA,3743866,NA,NA,NA
118.941913214072,3401623.54427404,1861056.5,NA,118.941914053782,0.0492643567306659,4651154,3594571,NA,NA,NA,NA,NA,NA,NA
118.942048918782,3401623.54427404,1615371.33333333,NA,118.942049508134,0.0103211104616723,48882832,47809356,49181732,NA,9492820,NA,10226985,NA,9879439
119.050234339439,3401623.54427404,1914775,NA,119.0502382,NA,NA,NA,NA,NA,NA,3517043,NA,NA,NA
119.573778922083,3402173.86043373,1326981,NA,119.5737819,NA,NA,NA,NA,NA,NA,NA,NA,3529173,NA
119.6537563,3402173.86043373,1597456,NA,119.6537563,NA,NA,NA,NA,NA,NA,NA,3452169,NA,NA
120.04548583843,3402173.86043373,1565153,NA,120.045489569247,0.000495376486180231,NA,NA,NA,51706036,NA,49279296,NA,49944000,NA
120.903744557219,3402724.26562381,1714715,NA,120.903744557219,0.0149108337362309,NA,NA,NA,NA,7070456,NA,6157521,NA,5348145
120.92639540619,3402724.26562381,1422380,NA,120.9263973,NA,3892782,NA,NA,NA,NA,NA,NA,NA,NA
