"mz","MDL_3.5","ResPow","refe","m1","SE","Sample1_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B1_1-1-19_1_3604.csv","Sample2_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B1_1-1-19_1_3610.csv","Sample3_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B1_1-1-19_1_3616.csv","Sample4_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B2_1-1-20_1_3606.csv","Sample5_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B2_1-1-20_1_3612.csv","Sample6_masslistsMGC2102293_LSt_MALSt_FT-ICR-MS_B-B2_1-1-20_1_3618.csv","Sample7_masslistsMGC2102295_LSt_MALSt_FT-ICR-MS_STD-D1_1-1-21_1_3622.csv","Sample8_masslistsMGC2102295_LSt_MALSt_FT-ICR-MS_STD-D1_1-1-21_1_3628.csv","Sample9_masslistsMGC2102295_LSt_MALSt_FT-ICR-MS_STD-D1_1-1-21_1_3634.csv","Sample10_masslistsMGC2102295_LSt_MALSt_FT-ICR-MS_STD-D2_1-1-23_1_3640.csv","Sample11_masslistsMGC2102295_LSt_MALSt_FT-ICR-MS_STD-D2_1-1-23_1_3646.csv","Sample12_masslistsMGC2102295_LSt_MALSt_FT-ICR-MS_STD-D2_1-1-23_1_3652.csv"
93.4648373,2485078.55764786,1940190,NA,93.4648373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2506248,NA,NA
93.4695865,2485078.55764786,2158380,NA,93.4695865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2671693,NA,NA
95.1475722,2486097.86037129,1985858,NA,95.1475722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2510248
95.2255717,2486097.86037129,2148662,NA,95.2255717,NA,NA,NA,2543699,NA,NA,NA,NA,NA,NA,NA,NA,NA
95.2922896,2486097.86037129,1746792,NA,95.2922896,NA,NA,NA,NA,NA,NA,2751789,NA,NA,NA,NA,NA,NA
95.406968,2486097.86037129,1901752,NA,95.406968,NA,NA,NA,NA,NA,2817502,NA,NA,NA,NA,NA,NA,NA
95.7780985,2486607.66850477,1846406,NA,95.7780985,NA,NA,NA,NA,NA,NA,NA,NA,2489958,NA,NA,NA,NA
95.8670389,2486607.66850477,1999245,NA,95.8670389,NA,NA,NA,NA,NA,NA,NA,NA,NA,2712532,NA,NA,NA
95.9256442,2486607.66850477,2209998,NA,95.9256442,NA,NA,NA,NA,NA,NA,NA,NA,2508583,NA,NA,NA,NA
95.9522760890909,2486607.66850477,2106550.33333333,NA,95.9522760890909,0.0266182502622811,NA,NA,NA,NA,NA,NA,7156005,6620407,7361627,NA,NA,NA
95.9604079,2486607.66850477,1746272,NA,95.9604079,NA,NA,NA,NA,NA,NA,NA,NA,2629983,NA,NA,NA,NA
96.2743085916136,2486607.66850477,2095958.83333333,NA,96.2743085916136,0.0455704789702955,5288770,5585548,5295443,4833206,6148912,5993442,2551767,3849938,3847685,4630306,4505341,4742828
96.2744078261787,2486607.66850477,1982452.33333333,NA,96.2744078261787,0.0403134241535554,2671985,2585960,NA,2653846,NA,NA,NA,NA,NA,NA,NA,NA
96.3926281,2486607.66850477,1714172,NA,96.3926281,NA,NA,3038946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96.4346354,2486607.66850477,2236036,NA,96.4346354,NA,NA,NA,NA,NA,2716389,NA,NA,NA,NA,NA,NA,NA
96.5313596,2487117.58118132,1427530,NA,96.5313596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2756329,NA,NA
96.6322602,2487117.58118132,1734237,NA,96.6322602,NA,NA,NA,NA,NA,NA,NA,NA,NA,2990447,NA,NA,NA
96.6700937,2487117.58118132,2005987,NA,96.6700937,NA,NA,NA,NA,NA,2594281,NA,NA,NA,NA,NA,NA,NA
96.6765119,2487117.58118132,1774852,NA,96.6765119,NA,NA,NA,NA,NA,2763792,NA,NA,NA,NA,NA,NA,NA
96.8522003,2487117.58118132,1994206,NA,96.8522003,NA,NA,NA,NA,NA,NA,2553791,NA,NA,NA,NA,NA,NA
96.8706962,2487117.58118132,1837547,NA,96.8706962,NA,NA,NA,NA,NA,NA,NA,NA,2557111,NA,NA,NA,NA
96.8815927,2487117.58118132,2089049,NA,96.8815927,NA,NA,NA,NA,NA,NA,NA,NA,2612246,NA,NA,NA,NA
96.9289045,2487117.58118132,1702998,NA,96.9289045,NA,NA,NA,NA,NA,2520968,NA,NA,NA,NA,NA,NA,NA
96.9364538,2487117.58118132,1984405,NA,96.9364538,NA,NA,NA,NA,NA,NA,NA,2598618,NA,NA,NA,NA,NA
96.9600141652619,2487117.58118132,2365529.72727273,NA,96.9600141652619,0.0207676881763031,6321861,7162735,NA,8995448,8960227,7094533,12190625,12005765,13254744,7145941,8042977,6715439
96.9601040536945,2487117.58118132,1944598.5,NA,96.9601040536945,0.0171686392835649,92465896,93833904,86870408,116122552,114437088,102793192,155568672,164476608,166765984,96941560,100578592,105534448
