Name	Formula	exact mass	[M-3H]3-	[M-2H]2-	[M-H2O-H]-	[M-H]-	[M+Na-2H]-	[M+Cl]-	[M+K-2H]-	[M+FA-H]-	[M+Hac-H]-	[M+Br]-	[M+TFA-H]-	[2M-H]-	[2M+FA-H]-	[2M+Hac-H]-	[3M-H]-				3-	0.333333333	-1.007276		0.000000		61.028405							
Glucose	C6H12O6	180.06338810	59.01385337	89.02441805	179.0561121	179.0561121	179.0561121	201.0380541	59.01385337	59.01385337	59.01385337	59.01385337	59.01385337	59.01385337	59.01385337	59.01385337	59.01385337				2-	0.5	-1.007276		140.545519		91.038970							
Fucose	C6H12O5	164.06847350	53.68221517																		1-	1	-19.01839		264.087199		199.081778							
Xylose	C5H10O5	150.05282340	49.0103318																		1-	1	-1.007276		282.098313		181.070664							
Cellobiose	C12H22O11	342.11621150	113.0314612																		1-	1	20.974666		304.080255		159.088722							
Cellotetraose	C24H42O21	666.22185840	221.0666768																		1-	1	34.969402		318.074991		145.093986							
Laminariheoxse	C36H62O31	990.32750530	329.1018924																		1-	1	36.948606		320.054195		143.114782							
GABA	C4H9NO2	103.06332850	33.34716683																		1-	1	44.998201		328.103790		135.065187							
Glucosamine	C6H13NO5	179.07937250	58.68584817																		1-	1	59.013851		342.119440		121.049537							
N-acetyl-D-glucose	C8H15NO6	221.08993720	72.68936973																		1-	1	78.918885		362.024474		101.144503							
Pantothenic_Dacid	C9H17NO5	219.11067270	72.0296149																		1-	1	112.985586		396.091175		67.077802							
Glucose_D	C13H16O7	284.08960500	93.689259																		1-	2	-1.007276		565.203902		361.134052							
Fucose_D	C13H16O6	268.09468825	88.35762008																		1-	2	44.998201		611.209379		315.128575							
Xylose_D	C12H14O6	254.07903818	83.68573673																		1-	2	59.013851		625.225029		301.112925							
Cellobiose_D	C19H26O12	446.14243000	147.7068673																		1-	3	-1.007276		848.309491		541.197440							
Cellobiose_D2	C26H30O13	550.16864500	182.3822723																															
Cellotetraose_D	C31H46O22	770.24808000	255.742084																															
Cellotetraose_D2	C38H50O23	874.27429500	290.417489																	M/3 - 1.007276 	M/2 - 1.007276 	M- 19.01839	M - 1.007276 	M + 20.974666 	M + 34.969402 	M + 36.948606 	M + 44.998201 	M + 59.013851 	M + 78.918885 	M + 112.985586 	2M - 1.007276 	2M + 44.998201 	2M + 59.013851 	3M - 1.007276 
Cellotetraose_D3	C45H54O24	978.30051000	325.092894																															
Cellotetraose_D4	C52H58O25	1082.32672500	359.768299																															
Laminariheoxse_D	C43H66O32	1094.35373000	363.7773007																															
Laminariheoxse_D2	C50H70O33	1198.37994500	398.4527057																															
Laminariheoxse_D3	C57H74O34	1302.40616000	433.1281107																															
Laminariheoxse_D4	C64H78O35	1406.43237500	467.8035157																															
Laminariheoxse_D5	C71H82O36	1510.45859000	502.4789207																															
Laminariheoxse_D6	C78H86O37	1614.48480500	537.1543257																															
GABA_D	C11H13NO3	207.08954329	68.02257176																															
Glucosamine_D	C13H17NO6	283.10558728	93.36125309																															
N-acetyl-D-glucose_D	C15H19NO7	325.11615197	107.3647747																															
Pantothenic_acid_D	C16H21NO6	323.13688741	106.7050198																															
